	Original ID	Gene Name in CARD	ARO	Database
28	argannot~~~(Flq)qnrB31~~~HQ418999:1-681	QnrB31	3002746	argannot
29	argannot~~~(MLS)erm(32)~~~AJ009971:1790-2632	erm(32)	3004592	argannot
30	argannot~~~(Bla)blaTEM-213~~~KF663615:1-858	TEM-213	3001390	argannot
31	argannot~~~(Bla)blaLEN-13~~~AJ635403:1-789	LEN-13	3002463	argannot
32	argannot~~~(Fcyn)FosA2~~~EU487198:217-642	FosA2	3002804	argannot
33	argannot~~~(Tet)tetG~~~AF133140:757-1932	tet(D)	3000168	argannot
34	argannot~~~(Bla)blaCMY-8~~~AF167990:613-1761	CMY-8	3002019	argannot
35	argannot~~~(Bla)blaOXA-181~~~HM992946:1-798	OXA-181	3001784	argannot
36	argannot~~~(Bla)blaOXA-66~~~EF051061:485-1309	OXA-66	3001615	argannot
37	argannot~~~(Bla)blaB-4~~~NG_055992:101-730	PLN-1	3006972	argannot
38	argannot~~~(Bla)bla2a~~~M28303:243-1187	EXO-1	3003564	argannot
39	argannot~~~(Gly)vanH-Ao1~~~AF060799:534-1580	vanH gene in vanO cluster	3002948	argannot
40	argannot~~~(Bla)blaCTX-M-64~~~GQ300937:269-1114	CTX-M-64	3001925	argannot
41	argannot~~~(Phe)catB1~~~M58472:148-777	Agrobacterium fabrum chloramphenicol acetyltransferase	3004451	argannot
42	argannot~~~(AGly)aph(3'')-Ia1~~~AP009493:267117-267935	APH(3'')-Ia	3002638	argannot
43	argannot~~~(Bla)blaOXA-101~~~AM412777:118-918	OXA-101	3001439	argannot
44	argannot~~~(Bla)blaSHV-97~~~EF373973:1-861	SHV-97	3001149	argannot
45	argannot~~~(Bla)blaOXA-215~~~JN861783:1-828	OXA-215	3001714	argannot
46	argannot~~~(Bla)blaTEM-169~~~FJ873740:1-858	TEM-169	3001035	argannot
47	argannot~~~(Gly)vanH-Ao2~~~HQ679900:1-1032	vanH gene in vanO cluster	3002948	argannot
48	argannot~~~(Bla)blaOXA-145~~~FJ790516:1288-2085	OXA-145	3001804	argannot
49	argannot~~~(Bla)blaOXA-202~~~HQ734813:1-825	OXA-202	3001667	argannot
50	argannot~~~(Bla)blaSPN79-1~~~NG_062234:1-837	SPN79-1	3006995	argannot
51	argannot~~~(Gly)vanX-D~~~AB242319:5046-5654	vanX gene in vanD cluster	3003070	argannot
52	argannot~~~(Bla)blaADC-73~~~KP881233:1-1152	ADC-73	3004634	argannot
53	argannot~~~(Bla)blaOXA-211~~~JN861779:1-825	OXA-211	3001710	argannot
54	argannot~~~(Bla)blaOXA-72~~~AY739646:1-828	OXA-72	3001705	argannot
55	argannot~~~(Flq)qnrA5~~~DQ058663:1-657	QnrA5	3002711	argannot
56	argannot~~~(AGly)aac3-Ig~~~CP000282:2333620-2334096	AAC(3)-Id	3002529	argannot
57	argannot~~~(Bla)blaOXA-50~~~AM117128:1-789	OXA-494	3005727	argannot
58	argannot~~~(Bla)blaSHV-153~~~JX121120:1-858	SHV-153	3001192	argannot
59	argannot~~~(Bla)blaSHV-12~~~FJ685654:24-860	SHV-66	3001121	argannot
60	argannot~~~(Col)mcr-5.3~~~NG_061405:1-1644	MCR-5.1	3004332	argannot
61	argannot~~~(Bla)blaSHV-101~~~EU155018:1-861	SHV-101	3001150	argannot
62	argannot~~~(Bla)blaB-10~~~AY348325:1-747	BlaB-10	3005523	argannot
63	argannot~~~(Bla)blaVIM-24~~~HM855205:1-801	VIM-24	3002294	argannot
64	argannot~~~(Phe)catS~~~X74948:1-492	catS	3002688	argannot
65	argannot~~~(Gly)vanC2/3~~~EU151755:29-1081	vanC	3000368	argannot
66	argannot~~~(AGly)aphA2~~~X57709:1-795	APH(3')-IIa	3002644	argannot
67	argannot~~~(Oxzln)OptrA_9~~~KT892063:105-2072	optrA	3003746	argannot
68	argannot~~~(Bla)blaFOX-9~~~JF896803:1-1149	FOX-9	3002163	argannot
69	argannot~~~(Bla)blaCMY-133~~~KP862819:1-1146	CMY-133	3003653	argannot
70	argannot~~~(Bla)blaMOX-7~~~GQ152602:1-1152	MOX-7	3002189	argannot
71	argannot~~~(Bla)blaSHV-94~~~EF373970:1-861	SHV-94	3001146	argannot
72	argannot~~~(Bla)blaCARB-16~~~NG_048718:101-997	CARB-16	3002255	argannot
73	argannot~~~(MLS)lsa(A)~~~AY225127:41-1537	lsaA	3000300	argannot
74	argannot~~~(AGly)aph(3'')-Ia~~~FJ172370:38668-39483	APH(3')-Ia	3002641	argannot
75	argannot~~~(Bla)blaCTX-M-123~~~JN790864:239-1114	CTX-M-123	3001982	argannot
76	argannot~~~(Bla)blaMIR-2~~~AY227752:89-1234	MIR-2	3002168	argannot
77	argannot~~~(Phe)catA9~~~K01998:288-938	Limosilactobacillus reuteri cat-TC	3002671	argannot
78	argannot~~~(Tmt)dfr16~~~AF077008:115-558	dfrA16	3003014	argannot
79	argannot~~~(Bla)blaOXA-109~~~FJ157357:1-825	OXA-109	3001640	argannot
80	argannot~~~(AGly)aacA29b~~~AY139599:768-1148	AAC(6')-29b	3002584	argannot
81	argannot~~~(Bla)blaMIR-5~~~FJ237367:1-1146	MIR-5	3002170	argannot
82	argannot~~~(Bla)blaMOX-2~~~AJ276453:4620-5768	MOX-2	3002183	argannot
83	argannot~~~(Bla)blaACT-6~~~FJ237366:41-1186	ACT-6	3001825	argannot
84	argannot~~~(Bla)blaCTX-M-134~~~JX896165:1-876	CTX-M-134	3001992	argannot
85	argannot~~~(Bla)blaOKP-B-2~~~AM051151:1-861	OKP-B-2	3002435	argannot
86	argannot~~~(Bla)blaTEM-141~~~AY956335:39-899	TEM-141	3001004	argannot
87	argannot~~~(Bla)blaOXA-53~~~AY289608:617-1444	OXA-53	3001810	argannot
88	argannot~~~(Bla)blaNDM-18~~~KY503030:1-828	NDM-18	3004861	argannot
89	argannot~~~(Phe)catB8~~~AF227506:253-885	catB8	3002680	argannot
90	argannot~~~(Bla)mecA1~~~NG_047950:20-2017	mecA	3000617	argannot
91	argannot~~~(Flq)qnrA6~~~DQ151889:1-657	QnrA6	3002712	argannot
92	argannot~~~(Phe)catB9~~~AF462019:27-656	catB9	3002681	argannot
93	argannot~~~(Bla)blaGIM-1~~~JF414726:394-1146	GIM-1	3000845	argannot
94	argannot~~~(Col)mcr-3.9~~~MF598080:1-1626	MCR-3.9	3004508	argannot
95	argannot~~~(Bla)blaCTX-M-75~~~GQ149244:1-873	CTX-M-75	3001936	argannot
96	argannot~~~(Bla)blaCMY-84~~~JQ733579:1028-2173	CMY-84	3002097	argannot
97	argannot~~~(Bla)blaCMY-95~~~JX514369:297-1483	CMY-95	3002108	argannot
98	argannot~~~(Bla)blaNDM-10~~~KF361506:1-813	NDM-10	3002360	argannot
99	argannot~~~(Bla)blaLEN-2~~~AY037780:89-949	LEN-2	3002455	argannot
100	argannot~~~(Bla)blaSHV-92~~~DQ836922:1-861	SHV-92	3001144	argannot
101	argannot~~~(Bla)cfxA4~~~AY769933:1-966	CfxA4	3003005	argannot
102	argannot~~~(Flq)qnrB12~~~AM774474:2435-3079	QnrB12	3002726	argannot
103	argannot~~~(Bla)blaOXA-788~~~NG_064749:1-786	OXA-788	3005991	argannot
104	argannot~~~(Bla)blaCMY-131~~~KP281294:1-1146	CMY-131	3003170	argannot
105	argannot~~~(AGly)aac6-Iaf~~~AB462903:1200-1751	AAC(6')-Iaf	3002574	argannot
106	argannot~~~(Bla)blaCARB-36~~~NG_048740:1-852	CARB-36	3005572	argannot
107	argannot~~~(Bla)blaOXA-816~~~NG_064774:1-822	OXA-816	3006015	argannot
108	argannot~~~(Bla)blaCMY-29~~~EF685371:1-1143	CMY-29	3002040	argannot
109	argannot~~~(Bla)blaCTX-M-37~~~AY649755:18-893	CTX-M-37	3001899	argannot
110	argannot~~~(Bla)blaCTX-M-50~~~AY847146:83-958	CTX-M-50	3001912	argannot
111	argannot~~~(Gly)vanXE-Pp~~~AF155139:6977-7648	vanX gene in vanF cluster	3002952	argannot
112	argannot~~~(Bla)blaCTX-M-91~~~GQ870432:31-906	CTX-M-91	3001951	argannot
113	argannot~~~(Tmt)dfrK~~~FM207105:2788-3279	dfrK	3002869	argannot
114	argannot~~~(Bla)PBP1a~~~JN645776:1-2160			argannot
115	argannot~~~(Bla)blaOXA-61~~~AY587956:123-896	OXA-61	3001773	argannot
116	argannot~~~(Tet)tetS~~~L09756:447-2372	tetS	3000192	argannot
117	argannot~~~(Col)mcr-3.17~~~NG_060518:1-1623	MCR-3.6	3004503	argannot
118	argannot~~~(Flq)qnrS2~~~DQ485530:1-657	QnrS2	3002791	argannot
119	argannot~~~(Bla)blaKPC-7~~~EU729727:1-882	KPC-7	3002317	argannot
120	argannot~~~(Bla)blaSHV-35~~~AY070258:1-861	SHV-35	3001093	argannot
121	argannot~~~(Bla)blaSHV-191~~~KP868754:1-861	SHV-191	3003591	argannot
122	argannot~~~(AGly)aac2-Ia~~~L06156:264-800	AAC(2')-Ia	3002523	argannot
123	argannot~~~(Bla)blaFOX-10~~~JX049131:1-1149	FOX-10	3002162	argannot
124	argannot~~~(Gly)vanH-E~~~AF155139:4979-5947	vanH gene in vanF cluster	3002945	argannot
125	argannot~~~(Bla)blaTEM-176~~~GU550123:145-1005	TEM-176	3001041	argannot
126	argannot~~~(Bla)cepH-A3~~~AY112998:197-961	cphA3	3003093	argannot
127	argannot~~~(Bla)blaOXA-809~~~NG_064767:1-822	OXA-809	3006009	argannot
128	argannot~~~(Flq)qnrB7~~~EU043311:1-645	QnrB7	3002721	argannot
129	argannot~~~(Bla)blaSFB-1~~~AY590119:1-735	SFB-1	3003557	argannot
130	argannot~~~(Bla)blaOCH-5~~~AJ295343:1-1173	OCH-5	3002518	argannot
131	argannot~~~(Bla)blaAQU-3~~~KF730244:1-1149	AQU-3	3004648	argannot
132	argannot~~~(MLS)erm(A)~~~X03216:4551-5282	ErmA	3000347	argannot
133	argannot~~~(Bla)blaOKP-B-19~~~AM850921:25-885	OKP-B-19	3002452	argannot
134	argannot~~~(Bla)blaOXA-168~~~HM488989:1-822	OXA-168	3001468	argannot
135	argannot~~~(Bla)blaPDC-328~~~MK840574:1-1194	PDC-328	3006697	argannot
136	argannot~~~(AGly)aac6-It~~~AF031328:1-441	AAC(6')-It	3002564	argannot
137	argannot~~~(MLS)erm(33)~~~AJ313523:163-894	Erm(33)	3000599	argannot
138	argannot~~~(Bla)blaIMP-8~~~HQ651093:3019-3759	IMP-8	3002199	argannot
139	argannot~~~(Bla)blaOXA-31~~~AF294653:754-1581	OXA-31	3001425	argannot
140	argannot~~~(Gly)vanR-B~~~AY655721:69-728	vanR gene in vanB cluster	3002921	argannot
141	argannot~~~(Bla)blaTEM-109~~~AY628175:211-1071	TEM-109	3000972	argannot
142	argannot~~~(Bla)blaTEM-1D~~~AF188200:215-1075	TEM-1	3000873	argannot
143	argannot~~~(MLS)erm(W)~~~D14532:1039-1974	ErmW	3001306	argannot
144	argannot~~~(Bla)blaALG11-1~~~NG_062237:1-888	ALG11-1	3006892	argannot
145	argannot~~~(Bla)blaSHV-2~~~AF148851:6-866	SHV-2	3001060	argannot
146	argannot~~~(Bla)blaTEM-125~~~AY628176:76-936	TEM-125	3000987	argannot
147	argannot~~~(Flq)qnr-A2~~~AY675584:1-657	QnrA2	3002708	argannot
148	argannot~~~(Tet)tcr-3~~~D38215:516-2954	tcr3	3002893	argannot
149	argannot~~~(Bla)blaTEM-12~~~M88143:368-1228	TEM-12	3000884	argannot
150	argannot~~~(Gly)vanH-Pt2~~~AY926880:2771-3739	vanH gene in vanA cluster	3002942	argannot
151	argannot~~~(Col)mcr-1.11~~~KY853650:51584-53212	MCR-1.11	3004688	argannot
152	argannot~~~(Col)mcr-3.7~~~MF598077:94-1719	MCR-3.7	3004510	argannot
153	argannot~~~(Bla)blaGES-12~~~FN554543:1-864	GES-12	3002341	argannot
154	argannot~~~(Bla)blaCTX-M-122~~~JN790863:233-1108	CTX-M-122	3001981	argannot
155	argannot~~~(Gly)vanS-D~~~AB242319:689-1834	vanS gene in vanD cluster	3002934	argannot
156	argannot~~~(Bla)blaTEM-67~~~AF091113:451-1311	TEM-67	3000934	argannot
157	argannot~~~(Bla)blaCTX-M-121~~~JN790862:245-1120	CTX-M-121	3001980	argannot
158	argannot~~~(Bla)blaOXA-82~~~GQ352402:8775-9599	OXA-82	3001635	argannot
159	argannot~~~(Bla)blaIMP-15~~~AY553333:114-854	IMP-15	3002206	argannot
160	argannot~~~(Gly)vanX-Ao2~~~HQ679900:2070-2678	vanX gene in vanI cluster	3003725	argannot
161	argannot~~~(Bla)blaADC-74~~~KP881234:1-1152	ADC-74	3003880	argannot
162	argannot~~~(Bla)blaCTX-M-71~~~FJ815436:196-1071	CTX-M-71	3001932	argannot
163	argannot~~~(AGly)aac6-Iaa~~~NC_003197:1707358-1707795	AAC(6')-Iaa	3002571	argannot
164	argannot~~~(Bla)blaOXA-236~~~JQ820242:1-831	OXA-236	3001677	argannot
165	argannot~~~(Bla)blaVIM-7~~~AJ536835:150-946	VIM-7	3002277	argannot
166	argannot~~~(Bla)blaOXA-111~~~EF650037:1-825	OXA-111	3001642	argannot
167	argannot~~~(Bla)blaTEM-85~~~AJ277414:1-861	TEM-85	3000952	argannot
168	argannot~~~(Phe)bcr1~~~NG_055652:101-1309	bcr-1	3003801	argannot
169	argannot~~~(Bla)blaPDC-49~~~KJ949064:1-1194	PDC-49	3005146	argannot
170	argannot~~~(Bla)blaAQU-2~~~KF730243:1-1143	AQU-2	3004647	argannot
171	argannot~~~(Bla)blaCMY-118~~~KM087838:1-1146	CMY-118	3002129	argannot
172	argannot~~~(Bla)blaOXA-180~~~HM570036:1-825	OXA-180	3001474	argannot
173	argannot~~~(MLS)mef(B)~~~FJ196385:11084-12313	mef(B)	3003107	argannot
174	argannot~~~(Bla)blaCMY-75~~~JQ733572:1028-2173	CMY-75	3002088	argannot
175	argannot~~~(Bla)aci1~~~AJ007350:240-1094	ACI-1	3004359	argannot
176	argannot~~~(Bla)blaCTX-M-59~~~EU622856:6869-7744	CTX-M-59	3001920	argannot
177	argannot~~~(Tmt)dfrC~~~Z48233:337-822	dfrC	3002865	argannot
178	argannot~~~(Bla)blaCTX-M-2~~~EF592570:5803-6678	CTX-M-2	3001865	argannot
179	argannot~~~(Tet)tet(44)~~~FN594949:25245-27167	tet(44)	3000556	argannot
180	argannot~~~(Gly)vanH-A~~~FJ866609:3762-4730	vanH gene in vanA cluster	3002942	argannot
181	argannot~~~(Bla)blaSHV-26~~~AF227204:74-934	SHV-26	3001084	argannot
182	argannot~~~(Bla)blaLEN-7~~~AJ635425:1-789	LEN-7	3002457	argannot
183	argannot~~~(Bla)blaOXA-392~~~NG_064747:101-931	OXA-392	3001578	argannot
184	argannot~~~(Bla)blaTEM-197~~~HQ877606:1-861	TEM-197	3001056	argannot
185	argannot~~~(Flq)qnrB32~~~JN173054:1-681	QnrB32	3002747	argannot
186	argannot~~~(Bla)blaB-11~~~AY348326:1-750	BlaB-11	3005524	argannot
187	argannot~~~(Bla)blaOXA-13~~~U59183:940-1740	OXA-13	3001408	argannot
188	argannot~~~(Bla)blaMOR-2~~~AY235804:110-1249	MOR-2	3006953	argannot
189	argannot~~~(Bla)blaFOX-1~~~X77455:701-1849	FOX-1	3002155	argannot
190	argannot~~~(AGly)rmtE2~~~NG_050559:101-922	rmtE2	3004679	argannot
191	argannot~~~(Bla)blaACT-3~~~EU427302:1476-2618	ACT-4	3001829	argannot
192	argannot~~~(Bla)blaSGM-1~~~NG_049983:101-1066	SGM-1	3006987	argannot
193	argannot~~~(Bla)blaADC-1~~~NG_048633:1-1152	ADC-1	3003847	argannot
194	argannot~~~(Tmt)dfrA8~~~U10186:711-1220	dfrA8	3002863	argannot
195	argannot~~~(Gly)vanR-L~~~EU250284:4731-5426	vanR gene in vanL cluster	3002927	argannot
196	argannot~~~(Flq)qnrVC5~~~NC_021292:1176-1832	QnrVC5	3002802	argannot
197	argannot~~~(Bla)blaTEM-111~~~AF468003:1-861	TEM-111	3000974	argannot
198	argannot~~~(AGly)aph3-Vb~~~M22126:373-1164	APH(3')-Vb	3002650	argannot
199	argannot~~~(Bla)blaCMY-20~~~AY960293:1-1143	CMY-20	3002031	argannot
200	argannot~~~(Bla)blaLHK-4~~~NG_056485:1-1173	LHK-4	3006938	argannot
201	argannot~~~(Bla)blaOXA-62~~~AY423074:1-858	OXA-62	3001792	argannot
202	argannot~~~(AGly)aph6-Ib~~~X05648:382-1305	APH(6)-Ib	3002658	argannot
203	argannot~~~(Bla)blaSHV-50~~~AY288915:1-861	SHV-50	3001107	argannot
204	argannot~~~(Tet)tet(31)~~~AJ250203:1651-2883	tet(31)	3000476	argannot
205	argannot~~~(Col)mcr-3.23~~~NG_060583:101-1726	MCR-3.1	3004139	argannot
206	argannot~~~(Bla)blaDHA-2~~~AF259520:1513-2652	DHA-2	3002133	argannot
207	argannot~~~(Bla)blaSHV-7~~~U20270:125-985	SHV-7	3001066	argannot
208	argannot~~~(Bla)blaADC-75~~~KP881235:1-1152	ADC-75	3003881	argannot
209	argannot~~~(Bla)blaCARB-35~~~NG_048739:1-852	CARB-35	3005571	argannot
210	argannot~~~(Bla)blaSHV-8~~~U92041:1-861	SHV-8	3001067	argannot
211	argannot~~~(Bla)blaMOX-8~~~JX173956:1-1152	MOX-8	3002190	argannot
212	argannot~~~(Bla)blaPOM-1~~~EU315252:972-1832	POM-1	3006974	argannot
213	argannot~~~(Bla)blaSHV-181~~~KP050488:1-861	SHV-180	3001350	argannot
214	argannot~~~(AGly)aadA7~~~AF224733:32-829	aadA7	3002607	argannot
215	argannot~~~(Bla)blaOXA-65~~~AY750908:1-825	OXA-65	3001614	argannot
216	argannot~~~(Bla)blaVHH-1~~~AF217649:134-985	VHH-1	3007003	argannot
217	argannot~~~(Flq)OqxA~~~EU370913:46652-47827	oqxA	3003922	argannot
218	argannot~~~(Bla)blaOXA-551~~~KY682753:1-888	OXA-551	3005775	argannot
219	argannot~~~(Bla)blaOXA-820~~~NG_064778:1-822	OXA-820	3006018	argannot
220	argannot~~~(Bla)blaOXA-255~~~KC479325:669-1496	OXA-255	3001690	argannot
221	argannot~~~(Flq)qnrS~~~FJ418153:1-657	QnrS4	3002793	argannot
222	argannot~~~(Col)mcr-1.16~~~NG_064787:1-1626	MCR-1.1	3003689	argannot
223	argannot~~~(Bla)blaOXA-198~~~HQ634775:3013-3801	OXA-198	3001805	argannot
224	argannot~~~(Bla)blaSHV-188~~~LN515534:1-873	SHV-188	3003155	argannot
225	argannot~~~(Bla)blaOXA-119~~~AY139598:1422-2222	OXA-119	3001775	argannot
226	argannot~~~(Fcyn)fosF~~~NG_047894:101-499	FosK	3003207	argannot
227	argannot~~~(Flq)qnrB21~~~FJ611948:1-645	QnrB21	3002736	argannot
228	argannot~~~(Bla)blaAZECL-25~~~KJ949106:1-1146	MIR-23	3004745	argannot
229	argannot~~~(Bla)blaSHV-193~~~KR347170:1-861	SHV-193	3005239	argannot
230	argannot~~~(Tet)tet(43)~~~GQ244501:60-1619	tet(43)	3000573	argannot
231	argannot~~~(Bla)blaACT-1~~~U58495:28-1173	ACT-1	3001821	argannot
232	argannot~~~(Bla)blaCTX-M-27~~~AY156923:1-876	CTX-M-27	3001889	argannot
233	argannot~~~(Bla)blaMIR-1~~~M37839:928-2073	MIR-1	3002166	argannot
234	argannot~~~(Bla)blaOXA-78~~~AY862132:1-825	OXA-78	3001645	argannot
235	argannot~~~(Bla)blaSHV-56~~~AY352599:1-861	SHV-66	3001121	argannot
236	argannot~~~(Bla)blaOXA-242~~~JX025022:1-825	OXA-242	3001680	argannot
237	argannot~~~(Bla)blaCTX-M-139~~~KC107824:1-876	CTX-M-139	3001997	argannot
238	argannot~~~(MLS)ole(B)~~~L36601:1421-3130	oleB	3003036	argannot
239	argannot~~~(Bla)blaCRD3-1~~~NG_062235:1-912	CRD3-1	3006864	argannot
240	argannot~~~(Bla)blaTEM-164~~~EU274580:215-1075	TEM-164	3001030	argannot
241	argannot~~~(Bla)cphA~~~AY261378:1-765	cphA3	3003093	argannot
242	argannot~~~(Bla)blaCTX-M-95~~~FN813245:1912-2787	CTX-M-95	3001955	argannot
243	argannot~~~(Bla)blaLEN-10~~~AJ635419:1-789	LEN-10	3002460	argannot
244	argannot~~~(Bla)blaIMP-35~~~JF816544:1-741	IMP-35	3002226	argannot
245	argannot~~~(Bla)blaTEM-30~~~AJ437107:209-1069	TEM-30	3000900	argannot
246	argannot~~~(Bla)cepA~~~FR688019:1-903	CepA-44	3006225	argannot
247	argannot~~~(Fcyn)FosA~~~JQ343850:4619-5035	FosA3	3002872	argannot
248	argannot~~~(MLS)vgb(B)~~~AF015628:399-1286	vgbB	3001308	argannot
249	argannot~~~(Bla)blaACC-5~~~HE819401:1-1161	ACC-5	3001819	argannot
250	argannot~~~(Tet)tetB~~~AB089594:1-1206	tet(B)	3000166	argannot
251	argannot~~~(Bla)blaSHV-42~~~AF535130:1-861	SHV-42	3001100	argannot
252	argannot~~~(Bla)blaPDC-212~~~MF281076:1-1194	PDC-212	3005289	argannot
253	argannot~~~(Bla)blaOXA-63~~~AY619003:704-1510	OXA-63	3001764	argannot
254	argannot~~~(Fcyn)FosA4~~~AB908992:1-417	FosA4	3003210	argannot
255	argannot~~~(Bla)blaCMY-58~~~HQ185697:1268-2413	CMY-58	3002072	argannot
256	argannot~~~(Bla)blaCTX-M-9~~~AF174129:1-876	CTX-M-9	3001872	argannot
257	argannot~~~(Bla)blaSHV-6~~~Y11069:1-780	SHV-6	3001065	argannot
258	argannot~~~(Bla)blaSMB-1~~~AB636283:1-843	SMB-1	3000854	argannot
259	argannot~~~(MLS)srm(B)~~~X63451:558-2210	srmB	3002828	argannot
260	argannot~~~(Bla)blaBEL-3~~~GQ202694:1-852	BEL-3	3002387	argannot
261	argannot~~~(Col)mcr-3.16~~~NG_060517:1-1623	MCR-3.3	3004662	argannot
262	argannot~~~(Flq)qnrB14~~~EU273757:1-681	QnrB14	3002728	argannot
263	argannot~~~(Bla)blaOXA-499~~~KX828713:1-828	OXA-499	3005343	argannot
264	argannot~~~(Gly)vanS-L~~~EU250284:5416-6510	vanS gene in vanL cluster	3002938	argannot
265	argannot~~~(Col)mcr-4.4~~~MG822665:1-1626	MCR-4.4	3004696	argannot
266	argannot~~~(Bla)blaPDC-313~~~MH780090:1-1194	PDC-313	3005310	argannot
267	argannot~~~(Bla)blaTEM-113~~~AY589494:194-1054	TEM-113	3000976	argannot
268	argannot~~~(Bla)blaOXA-116~~~EU220744:1-786	OXA-116	3001441	argannot
269	argannot~~~(Bla)blaFOX-8~~~HM565917:1-1149	FOX-8	3002161	argannot
270	argannot~~~(Bla)blaIND-2~~~EF394439:1-732	IND-2	3002257	argannot
271	argannot~~~(Bla)blaLRA-7~~~NG_055766:101-1009	LRA-7	3002486	argannot
272	argannot~~~(Gly)vanH-D~~~AY082011:4937-5908	vanH gene in vanD cluster	3002944	argannot
273	argannot~~~(Bla)blaTEM-168~~~FJ919776:209-1069	TEM-168	3001034	argannot
274	argannot~~~(Bla)blaOKP-A-13~~~FJ534513:1-861	OKP-A-13	3002430	argannot
275	argannot~~~(Bla)blaIMP-28~~~HQ263342:1-741	IMP-28	3002219	argannot
276	argannot~~~(Bla)blaFONA-3~~~AJ251241:1054-1941	FONA-3	3004790	argannot
277	argannot~~~(Bla)blaKLUC-3~~~NG_062209:1	KLUC-3	3006929	argannot
278	argannot~~~(Bla)blaOXA-35~~~FJ957893:1271-2071	OXA-35	3001429	argannot
279	argannot~~~(Bla)blaFRI-1~~~KT192551:3492-4376	FRI-1	3004797	argannot
280	argannot~~~(Bla)blaCMY-80~~~JQ733577:1027-2172	CMY-80	3002093	argannot
281	argannot~~~(Bla)blaTEM-63~~~AF332513:104-964	TEM-63	3000931	argannot
282	argannot~~~(Phe)catA-St~~~NG_047581:101-763	Vibrio anguillarum chloramphenicol acetyltransferase	3004460	argannot
283	argannot~~~(Bla)blaTEM-160~~~EF136377:1-861	TEM-160	3001026	argannot
284	argannot~~~(Bla)blaIND-6~~~AM087455:229-1011	IND-6	3002262	argannot
285	argannot~~~(Bla)blaTEM-156~~~AM115459:209-1069	TEM-156	3001022	argannot
286	argannot~~~(Bla)blaOXA-812~~~NG_064770:1-822	OXA-812	3005160	argannot
287	argannot~~~(Bla)blaOKP-B-18~~~AM850920:41-901	OKP-B-18	3002451	argannot
288	argannot~~~(Gly)vanYF-Pp~~~AF155139:3397-4278	vanY gene in vanF cluster	3002958	argannot
289	argannot~~~(Bla)blaCMY-35~~~EF394371:1-1146	CMY-35	3002046	argannot
290	argannot~~~(Col)mcr-1.4~~~KY041856:1-1626	MCR-1.4	3004515	argannot
291	argannot~~~(AGly)aac2-Ib~~~U41471:266-822	AAC(2')-Ib	3002524	argannot
292	argannot~~~(Bla)blaSHV-76~~~AM176551:31-891	SHV-76	3001130	argannot
293	argannot~~~(Gly)vanR-F~~~AF155139:1512-2207	vanR gene in vanF cluster	3002925	argannot
