input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
groot.groot-db.tsv	groot-db_ARGANNOT__(Tet)TetW:AJ222769:3687-5606:1920    204      1920    2D1900M15D3M	groot-db_ARGANNOT__(Tet)TetW:AJ222769:3687-5606:1920    204      1920    2D1900M15D3M	groot	v	groot-db_ARGANNOT__(Tet)TetW:AJ222769:3687-5606:1920    204      1920    2D1900M15D3M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_CARD__gb|AF472622|+|52-1018|ARO:3003003|CfxA3  519      967     960M7D	groot-db_CARD__gb|AF472622|+|52-1018|ARO:3003003|CfxA3  519      967     960M7D	groot	v	groot-db_CARD__gb|AF472622|+|52-1018|ARO:3003003|CfxA3  519      967     960M7D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(W)_1_DQ060146   202     1920    2D1032M20D848M15D3M	groot-db_RESFINDER__tet(W)_1_DQ060146   202     1920    2D1032M20D848M15D3M	groot	v	groot-db_RESFINDER__tet(W)_1_DQ060146   202     1920    2D1032M20D848M15D3M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_CARD__gb|EU434751|+|658-2578|ARO:3000194|tetW  196      1920    2D1900M15D3M	groot-db_CARD__gb|EU434751|+|658-2578|ARO:3000194|tetW  196      1920    2D1900M15D3M	groot	v	groot-db_CARD__gb|EU434751|+|658-2578|ARO:3000194|tetW  196      1920    2D1900M15D3M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(O/W)_1_AM889118 271     1889    968M13D104M10D773M21D	groot-db_RESFINDER__tet(O/W)_1_AM889118 271     1889    968M13D104M10D773M21D	groot	v	groot-db_RESFINDER__tet(O/W)_1_AM889118 271     1889    968M13D104M10D773M21D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(W)_3_AJ427421   200     1920    2D1705M29D166M15D3M	groot-db_RESFINDER__tet(W)_3_AJ427421   200     1920    2D1705M29D166M15D3M	groot	v	groot-db_RESFINDER__tet(W)_3_AJ427421   200     1920    2D1705M29D166M15D3M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(Q)_1_L33696     1021    1926    1684M1D237M4D	groot-db_RESFINDER__tet(Q)_1_L33696     1021    1926    1684M1D237M4D	groot	v	groot-db_RESFINDER__tet(Q)_1_L33696     1021    1926    1684M1D237M4D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(MLS)ErmF:M14730:241-1041:801        321      801     598M10D189M4D	groot-db_ARGANNOT__(MLS)ErmF:M14730:241-1041:801        321      801     598M10D189M4D	groot	v	groot-db_ARGANNOT__(MLS)ErmF:M14730:241-1041:801        321      801     598M10D189M4D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(AGly)Aph7:GG774704:686456-687373:918254      918     912M6D	groot-db_ARGANNOT__(AGly)Aph7:GG774704:686456-687373:918254      918     912M6D	groot	v	groot-db_ARGANNOT__(AGly)Aph7:GG774704:686456-687373:918254      918     912M6D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__ant(6)-Ia_3_KF864551        217     867      852M15D	groot-db_RESFINDER__ant(6)-Ia_3_KF864551        217     867      852M15D	groot	v	groot-db_RESFINDER__ant(6)-Ia_3_KF864551        217     867      852M15D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(Bla)cfiA9:AB087234:1-750:750        79       750     15D732M3D	groot-db_ARGANNOT__(Bla)cfiA9:AB087234:1-750:750        79       750     15D732M3D	groot	v	groot-db_ARGANNOT__(Bla)cfiA9:AB087234:1-750:750        79       750     15D732M3D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(O/W)_4_AM889121 289     1889    1242M22D604M21D	groot-db_RESFINDER__tet(O/W)_4_AM889121 289     1889    1242M22D604M21D	groot	v	groot-db_RESFINDER__tet(O/W)_4_AM889121 289     1889    1242M22D604M21D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__erm(F)_3_M17808     380     801     797M4D	groot-db_RESFINDER__erm(F)_3_M17808     380     801     797M4D	groot	v	groot-db_RESFINDER__erm(F)_3_M17808     380     801     797M4D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(O/W)_3_AM889120 264     1889    591M27D451M13D279M1D506M21D	groot-db_RESFINDER__tet(O/W)_3_AM889120 264     1889    591M27D451M13D279M1D506M21D	groot	v	groot-db_RESFINDER__tet(O/W)_3_AM889120 264     1889    591M27D451M13D279M1D506M21D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__erm(B)_9_AF299292   191     738     4D732M2D	groot-db_RESFINDER__erm(B)_9_AF299292   191     738     4D732M2D	groot	v	groot-db_RESFINDER__erm(B)_9_AF299292   191     738     4D732M2D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(Tet)Tet-32:DQ647324:181-2100:1920   148      1920    4D1897M19D	groot-db_ARGANNOT__(Tet)Tet-32:DQ647324:181-2100:1920   148      1920    4D1897M19D	groot	v	groot-db_ARGANNOT__(Tet)Tet-32:DQ647324:181-2100:1920   148      1920    4D1897M19D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_CARD__gb|AF118110|-|71-1037|ARO:3003002|CfxA2  452      967     963M4D	groot-db_CARD__gb|AF118110|-|71-1037|ARO:3003002|CfxA2  452      967     963M4D	groot	v	groot-db_CARD__gb|AF118110|-|71-1037|ARO:3003002|CfxA2  452      967     963M4D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__erm(B)_6_AF242872   192     747     4D304M6D418M15D	groot-db_RESFINDER__erm(B)_6_AF242872   192     747     4D304M6D418M15D	groot	v	groot-db_RESFINDER__erm(B)_6_AF242872   192     747     4D304M6D418M15D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(Bla)cfxA2:AF504910:1-966:966        338      966     101M1D401M2D455M6D	groot-db_ARGANNOT__(Bla)cfxA2:AF504910:1-966:966        338      966     101M1D401M2D455M6D	groot	v	groot-db_ARGANNOT__(Bla)cfxA2:AF504910:1-966:966        338      966     101M1D401M2D455M6D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(Tet)Tet-40:AM419751:14211-15431:1221317      1221    156M7D1058M	groot-db_ARGANNOT__(Tet)Tet-40:AM419751:14211-15431:1221317      1221    156M7D1058M	groot	v	groot-db_ARGANNOT__(Tet)Tet-40:AM419751:14211-15431:1221317      1221    156M7D1058M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_CARD__gb|AF242872|+|2131-2878|ARO:3000375|ErmB 192      748     4D304M6D418M16D	groot-db_CARD__gb|AF242872|+|2131-2878|ARO:3000375|ErmB 192      748     4D304M6D418M16D	groot	v	groot-db_CARD__gb|AF242872|+|2131-2878|ARO:3000375|ErmB 192      748     4D304M6D418M16D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__erm(B)_11_M19270    132     738     4D211M7D278M6D230M2D	groot-db_RESFINDER__erm(B)_11_M19270    132     738     4D211M7D278M6D230M2D	groot	v	groot-db_RESFINDER__erm(B)_11_M19270    132     738     4D211M7D278M6D230M2D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__erm(B)_15_U48430    159     753     4D567M2D159M21D	groot-db_RESFINDER__erm(B)_15_U48430    159     753     4D567M2D159M21D	groot	v	groot-db_RESFINDER__erm(B)_15_U48430    159     753     4D567M2D159M21D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(W)_4_FN396364   216     1920    2D618M40D582M29D641M5D3M	groot-db_RESFINDER__tet(W)_4_FN396364   216     1920    2D618M40D582M29D641M5D3M	groot	v	groot-db_RESFINDER__tet(W)_4_FN396364   216     1920    2D618M40D582M29D641M5D3M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(Q)_4_Z21523     510     1926    1923M3D	groot-db_RESFINDER__tet(Q)_4_Z21523     510     1926    1923M3D	groot	v	groot-db_RESFINDER__tet(Q)_4_Z21523     510     1926    1923M3D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(O/W)_2_AM889119 232     1889    560M14D175M13D323M10D507M6D144M1D115M21D	groot-db_RESFINDER__tet(O/W)_2_AM889119 232     1889    560M14D175M13D323M10D507M6D144M1D115M21D	groot	v	groot-db_RESFINDER__tet(O/W)_2_AM889119 232     1889    560M14D175M13D323M10D507M6D144M1D115M21D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(O/W)_5_AM889122 269     1889    26D985M3D854M21D	groot-db_RESFINDER__tet(O/W)_5_AM889122 269     1889    26D985M3D854M21D	groot	v	groot-db_RESFINDER__tet(O/W)_5_AM889122 269     1889    26D985M3D854M21D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(Bla)OXA-347:JN086160:1583-2407:825  191      825     11D812M1D1M	groot-db_ARGANNOT__(Bla)OXA-347:JN086160:1583-2407:825  191      825     11D812M1D1M	groot	v	groot-db_ARGANNOT__(Bla)OXA-347:JN086160:1583-2407:825  191      825     11D812M1D1M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_CARD__gb|AY769933|+|0-966|ARO:3003005|CfxA4    450      967     960M7D	groot-db_CARD__gb|AY769933|+|0-966|ARO:3003005|CfxA4    450      967     960M7D	groot	v	groot-db_CARD__gb|AY769933|+|0-966|ARO:3003005|CfxA4    450      967     960M7D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_CARD__gb|JN086160|-|1582-2407|ARO:3001777|OXA-347       191     826     2D813M11D	groot-db_CARD__gb|JN086160|-|1582-2407|ARO:3001777|OXA-347       191     826     2D813M11D	groot	v	groot-db_CARD__gb|JN086160|-|1582-2407|ARO:3001777|OXA-347       191     826     2D813M11D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_CARD__gb|AY769934|+|27-993|ARO:3003096|CfxA5   449      967     775M1D184M7D	groot-db_CARD__gb|AY769934|+|27-993|ARO:3003096|CfxA5   449      967     775M1D184M7D	groot	v	groot-db_CARD__gb|AY769934|+|27-993|ARO:3003096|CfxA5   449      967     775M1D184M7D	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(O)_4_AIOQ01000025       767     1920     1783M5D132M	groot-db_RESFINDER__tet(O)_4_AIOQ01000025       767     1920     1783M5D132M	groot	v	groot-db_RESFINDER__tet(O)_4_AIOQ01000025       767     1920     1783M5D132M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_RESFINDER__tet(0/32/0)_7_FP929050      718     1920     892M52D976M	groot-db_RESFINDER__tet(0/32/0)_7_FP929050      718     1920     892M52D976M	groot	v	groot-db_RESFINDER__tet(0/32/0)_7_FP929050      718     1920     892M52D976M	groot	v	gene_presence_detected																											
groot.groot-db.tsv	groot-db_ARGANNOT__(Tet)TetQ:Z21523:362-2287:1926       539      1974    1D1970M3D	groot-db_ARGANNOT__(Tet)TetQ:Z21523:362-2287:1926       539      1974    1D1970M3D	groot	v	groot-db_ARGANNOT__(Tet)TetQ:Z21523:362-2287:1926       539      1974    1D1970M3D	groot	v	gene_presence_detected																											
