	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_sequence_id	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
25	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126573.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.12	GMGC10.022_098_475.FOLA			1	480					+		81.22								
26	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KJ694958.1|Agricultural soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.38	GMGC10.023_967_203.FOLA			1	461					+		90.93								
27	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KJ694763.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.59	GMGC10.024_028_339.FOLA			1	474					+		97.53								
28	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase type 1""|MG585980.1|pharmaceutical_effluent|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	88.8	GMGC10.024_555_485.UNKNOWN			2	474					+		97.93								
29	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KJ694763.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.8	GMGC10.027_070_728.FOLA			1	486					+		100.0								
30	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KJ694763.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.16	GMGC10.027_120_592.FOLA			1	486					+		100.0								
31	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.88	GMGC10.027_836_130.FOLA			1	473					+		80.03								
32	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.04	GMGC10.031_486_031.FOLA			1	480					+		81.22								
33	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX127117.1|newborn_gut|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	96.52	GMGC10.032_253_980.FOLA			1	489					+		100.0								
34	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KF629368.1|pediatric_fecal_sample|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	98.95	GMGC10.033_864_493.FOLA			1	477					+		100.0								
35	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.21	GMGC10.034_890_984.FOLA			1	480					+		81.22								
36	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	86.04	GMGC10.035_228_672.FOLA			1	480					+		81.22								
37	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.04	GMGC10.035_462_324.FOLA			1	480					+		81.05								
38	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KF628671.1|pediatric_fecal_sample|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	94.16	GMGC10.036_323_727.FOLA			1	462					+		91.12								
39	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.0	GMGC10.036_635_680.FOLA			1	480					+		81.22								
40	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KJ694763.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	87.04	GMGC10.037_953_599.FOLA			1	486					+		100.0								
41	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase type 1""|MG585980.1|pharmaceutical_effluent|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	87.83	GMGC10.038_777_079.UNKNOWN			1	460					+		95.03								
42	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126573.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.33	GMGC10.040_768_674.FOLA			1	480					+		81.22								
43	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KJ694958.1|Agricultural soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.34	GMGC10.043_201_874.FOLA			2	465					+		91.52								
44	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.62	GMGC10.044_705_939.FOLA			1	480					+		81.22								
45	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	86.04	GMGC10.046_412_787.FOLA			1	480					+		81.22								
46	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.08	GMGC10.002_200_826.FOLA			1	513					+		100.0								
47	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.08	GMGC10.002_223_408.FOLA			1	517					+		99.42								
48	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.22	GMGC10.002_253_192.FOLA			1	507					+		97.69								
49	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.99	GMGC10.003_314_662.FOLA			1	513					+		100.0								
50	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	90.14	GMGC10.003_445_990.FOLA			1	507					+		97.69								
51	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.17	GMGC10.003_449_194.FOLA			1	517					+		99.61								
52	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.62	GMGC10.003_452_917.FOLA			1	506					+		98.64								
53	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KX128322.1|newborn_gut|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.55	GMGC10.003_501_784.FOLA			1	492					+		100.0								
54	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KF628671.1|pediatric_fecal_sample|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.47	GMGC10.004_151_114.FOLA			1	507					+		99.8								
55	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KF627038.1|pediatric_fecal_sample|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	88.17	GMGC10.004_151_729.FOLA			1	507					+		100.0								
56	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KF627038.1|pediatric_fecal_sample|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	94.87	GMGC10.004_167_325.FOLA			1	507					+		100.0								
57	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ695503.1|Agricultural soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.12	GMGC10.004_463_518.FOLA			1	513					+		100.0								
58	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.25	GMGC10.004_604_219.FOLA			1	507					+		98.83								
59	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.66	GMGC10.004_606_644.FOLA			1	507					+		98.83								
60	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.7	GMGC10.004_609_490.FOLA			1	503					+		98.05								
61	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.2	GMGC10.004_614_712.FOLA			1	506					+		98.64								
62	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.21	GMGC10.004_619_362.FOLA			1	506					+		97.5								
63	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	88.89	GMGC10.004_623_034.FOLA			1	513					+		100.0								
64	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.92	GMGC10.004_628_547.FOLA			1	506					+		97.5								
65	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.2	GMGC10.004_633_839.FOLA			1	506					+		98.64								
66	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.55	GMGC10.007_388_020.FOLA			1	507					+		97.69								
67	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	88.54	GMGC10.007_559_798.FOLA			1	506					+		97.5								
68	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.41	GMGC10.007_765_939.FOLA			1	513					+		100.0								
69	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.37	GMGC10.007_767_205.FOLA			1	511					+		99.61								
70	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ692690.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.44	GMGC10.008_491_393.FOLA			1	501					+		97.66								
71	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.33	GMGC10.008_501_703.FOLA			1	506					+		97.5								
72	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.55	GMGC10.009_196_253.FOLA			1	512					+		99.81								
73	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.86	GMGC10.009_225_838.FOLA			1	513					+		100.0								
74	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.14	GMGC10.009_228_960.FOLA			1	504					+		98.25								
75	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.14	GMGC10.009_327_476.FOLA			1	428					+		81.31								
76	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	88.3	GMGC10.009_370_051.FOLA			1	513					+		100.0								
77	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	90.32	GMGC10.009_382_998.FOLA			1	506					+		97.5								
78	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	87.57	GMGC10.009_387_166.FOLA			1	507					+		97.69								
79	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ694958.1|Agricultural soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.03	GMGC10.009_629_455.FOLA			2	482					+		94.87								
80	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KF628572.1|pediatric_fecal_sample|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	99.19	GMGC10.009_740_575.FOLA			1	495					+		100.0								
81	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ694958.1|Agricultural soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.34	GMGC10.010_170_479.FOLA			2	492					+		96.84								
82	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KF628657.1|pediatric_fecal_sample|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	99.6	GMGC10.011_141_530.FOLA			1	495					+		100.0								
83	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	86.98	GMGC10.011_176_884.FOLA			1	507					+		97.69								
84	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KF628671.1|pediatric_fecal_sample|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.71	GMGC10.011_625_280.FOLA			1	507					+		99.8								
85	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.53	GMGC10.011_672_514.FOLA			11	503					+		96.1								
86	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.97	GMGC10.011_818_644.FOLA			1	513					+		100.0								
87	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	87.5	GMGC10.011_909_301.FOLA			1	504					+		97.11								
88	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.28	GMGC10.011_912_771.FOLA			1	513					+		100.0								
89	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.35	GMGC10.011_916_599.FOLA			1	507					+		97.69								
90	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	88.76	GMGC10.011_923_347.FOLA			1	507					+		97.69								
91	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	90.25	GMGC10.011_925_640.FOLA			1	513					+		100.0								
92	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	90.25	GMGC10.011_930_208.FOLA			1	513					+		100.0								
93	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	90.45	GMGC10.011_932_833.FOLA			1	513					+		100.0								
94	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	91.23	GMGC10.011_938_764.FOLA			1	513					+		100.0								
95	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	90.33	GMGC10.011_945_759.FOLA			1	507					+		97.69								
96	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.94	GMGC10.011_953_080.FOLA			1	507					+		97.69								
97	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	88.76	GMGC10.011_961_384.FOLA			1	507					+		97.69								
98	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.41	GMGC10.012_388_491.FOLA			11	454					+		84.39								
99	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.69	GMGC10.012_693_347.FOLA			1	508					+		97.88								
100	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	86.94	GMGC10.012_945_209.FOLA			1	513					+		100.0								
101	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.63	GMGC10.012_959_138.FOLA			1	513					+		99.81								
102	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.2	GMGC10.012_975_508.FOLA			1	505					+		98.44								
103	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.02	GMGC10.012_976_284.FOLA			1	513					+		100.0								
104	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	86.32	GMGC10.012_978_283.FOLA			1	446					+		85.93								
105	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694497.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.02	GMGC10.012_982_946.FOLA			12	501					+		94.41								
106	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.63	GMGC10.014_203_387.FOLA			1	513					+		100.0								
107	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KF791059.1|retail host|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.72	GMGC10.014_362_691.FOLA			1	516					+		100.0								
108	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	90.45	GMGC10.014_365_918.FOLA			1	513					+		100.0								
109	GMGC10.95nr_block_0010	Dihydrofolate	"Dihydrofolate reductase""|KJ693537.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.12	GMGC10.014_420_399.FOLA			1	517					+		99.42								
