input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	confers_resistance_to	resistance_to_drug_classes	argNorm_version
groot.resfinder.tsv	erm(B)_6_AF242872	erm(B)_6_AF242872	groot	v	erm(B)_6_AF242872	groot	v	gene_presence_detected			192.0																747									ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	tet(40)_1_FJ158002	tet(40)_1_FJ158002	groot	v	tet(40)_1_FJ158002	groot	v	gene_presence_detected			322.0																1221									ARO:3000567	ARO:0000051	ARO:3000050	0.6.0
groot.resfinder.tsv	erm(B)_1_JN899585	erm(B)_1_JN899585	groot	v	erm(B)_1_JN899585	groot	v	gene_presence_detected			214.0																738									ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	tet(32)_2_EF626943	tet(32)_2_EF626943	groot	v	tet(32)_2_EF626943	groot	v	gene_presence_detected			148.0																1920									ARO:3000196	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	0.6.0
groot.resfinder.tsv	cfxA3_1_AF472622	cfxA3_1_AF472622	groot	v	cfxA3_1_AF472622	groot	v	gene_presence_detected			519.0																966									ARO:3003003	ARO:0000044	ARO:3000007	0.6.0
groot.resfinder.tsv	tet(Q)_4_Z21523	tet(Q)_4_Z21523	groot	v	tet(Q)_4_Z21523	groot	v	gene_presence_detected			539.0																1974									ARO:3000191	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	0.6.0
groot.resfinder.tsv	tet(W)_6_FN396364	tet(W)_6_FN396364	groot	v	tet(W)_6_FN396364	groot	v	gene_presence_detected			215.0																1920												0.6.0
groot.resfinder.tsv	cfxA5_1_AY769934	cfxA5_1_AY769934	groot	v	cfxA5_1_AY769934	groot	v	gene_presence_detected			449.0																966									ARO:3003096	ARO:0000044	ARO:3000007	0.6.0
groot.resfinder.tsv	erm(B)_7_AF368302	erm(B)_7_AF368302	groot	v	erm(B)_7_AF368302	groot	v	gene_presence_detected			201.0																711									ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	erm(B)_10_U86375	erm(B)_10_U86375	groot	v	erm(B)_10_U86375	groot	v	gene_presence_detected			178.0																738									ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	cfxA4_1_AY769933	cfxA4_1_AY769933	groot	v	cfxA4_1_AY769933	groot	v	gene_presence_detected			450.0																966									ARO:3003005	ARO:0000044	ARO:3000007	0.6.0
groot.resfinder.tsv	tetO_4_AIOQ01000025	tetO_4_AIOQ01000025	groot	v	tetO_4_AIOQ01000025	groot	v	gene_presence_detected			767.0																1920												0.6.0
groot.resfinder.tsv	erm(B)_12_U18931	erm(B)_12_U18931	groot	v	erm(B)_12_U18931	groot	v	gene_presence_detected			238.0																738									ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	tet(W)_4_AJ427422	tet(W)_4_AJ427422	groot	v	tet(W)_4_AJ427422	groot	v	gene_presence_detected			203.0																1920												0.6.0
groot.resfinder.tsv	erm(F)_2_M17124	erm(F)_2_M17124	groot	v	erm(F)_2_M17124	groot	v	gene_presence_detected			321.0																801									ARO:3000498	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	tet(40)_2_FJ158002	tet(40)_2_FJ158002	groot	v	tet(40)_2_FJ158002	groot	v	gene_presence_detected			409.0																1221												0.6.0
groot.resfinder.tsv	erm(F)_3_M17808	erm(F)_3_M17808	groot	v	erm(F)_3_M17808	groot	v	gene_presence_detected			380.0																801									ARO:3000498	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	0.6.0
groot.resfinder.tsv	tet(Q)_1_L33696	tet(Q)_1_L33696	groot	v	tet(Q)_1_L33696	groot	v	gene_presence_detected			1021.0																1926									ARO:3000191	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	0.6.0
