# argNorm version: 0.6.0
input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	Cut_Off	confers_resistance_to	resistance_to_drug_classes
groot.card.tsv	CfxA4	CfxA4.3003005.AY769933	groot	v	CfxA4.3003005.AY769933.0-966.1592	groot	v	gene_presence_detected			450.0																966									ARO:3003005	Perfect	ARO:3009106	ARO:3000007
groot.card.tsv	rrnB	rrnB.3003377.U00096	groot	v	rrnB.3003377.U00096.4166659-4168200.3239	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	OXA-347	OXA-347.3001777.JN086160	groot	v	OXA-347.3001777.JN086160.1582-2407.4583	groot	v	gene_presence_detected			191.0																825									ARO:3001777	Perfect	ARO:0000056	ARO:3000007
groot.card.tsv	rrsB	rrsB.3003376.U00096	groot	v	rrsB.3003376.U00096.4166659-4168200.3240	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	rrsB	rrsB.3003408.U00096	groot	v	rrsB.3003408.U00096.4166659-4168200.3241	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	tetQ	tetQ.3000191.Z21523	groot	v	tetQ.3000191.Z21523.0-1974.476	groot	v	gene_presence_detected			539.0																1974												
groot.card.tsv	rrsB	rrsB.3003399.U00096	groot	v	rrsB.3003399.U00096.4166659-4168200.3232	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	tetW	tetW.3000194.AJ222769	groot	v	tetW.3000194.AJ222769.3.3686-5606.5145	groot	v	gene_presence_detected			203.0																1920												
groot.card.tsv	CfxA5	CfxA5.3003096.AY769934	groot	v	CfxA5.3003096.AY769934.27-993.1669	groot	v	gene_presence_detected			449.0																966									ARO:3003096	Perfect	ARO:3009106	ARO:3000007
groot.card.tsv	CfxA3	CfxA3.3003003.AF472622	groot	v	CfxA3.3003003.AF472622.52-1018.1514	groot	v	gene_presence_detected			519.0																966									ARO:3003003	Perfect	ARO:3009106	ARO:3000007
groot.card.tsv	rrsB	rrsB.3003405.U00096	groot	v	rrsB.3003405.U00096.4166659-4168200.3231	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	rrsH	rrsH.3003372.U00096	groot	v	rrsH.3003372.U00096.223771-225312.3228	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	rrsB	rrsB.3003397.U00096	groot	v	rrsB.3003397.U00096.4166659-4168200.3230	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	ErmF	ErmF.3000498.M17124	groot	v	ErmF.3000498.M17124.1181-1982.593	groot	v	gene_presence_detected			321.0																801									ARO:3000498	Perfect	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
groot.card.tsv	rrsB	rrsB.3003403.U00096	groot	v	rrsB.3003403.U00096.4166659-4168200.3238	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	CfxA2	CfxA2.3003002.AF118110	groot	v	CfxA2.3003002.AF118110.1.71-1037.4470	groot	v	gene_presence_detected			450.0																966									ARO:3003002	Perfect	ARO:3009106	ARO:3000007
