Accession	Name	Description	ID	CARD Short Name
ARO:3000177	tet(J)	TetJ is a tetracycline efflux protein expressed in Gram-negative bacteria (Escherichia, Morganella, and Proteus).	36316	tet(J)
ARO:3000178	tet(K)	TetK is a tetracycline efflux protein found in both Gram-negative (Haemophilus and Gallibacterium) and Gram-positive (many species, including mycobacteria) bacteria.	36317	tet(K)
ARO:3000179	tet(L)	TetL is a tetracycline efflux protein found in many species of Gram-negative and Gram-positive bacteria.	36318	tet(L)
ARO:3000180	tetA(P)	TetA(P) is a inner membrane tetracycline efflux protein found on the same operon as the ribosomal protection protein TetB(P). It is found in Clostridium, a Gram-positive bacterium.	36319	tetA(P)
ARO:3000181	tet(V)	TetV is a tetracycline efflux protein that has been found in Mycolicibacterium smegmatis and Mycolicibacterium fortuitum.	36320	tet(V)
ARO:3000182	tet(Y)	TetY is a tetracycline efflux pump found in Gram-negative bacteria (Aeromonas and Escherichia). It is associated with plasmid DNA.	36321	tet(Y)
ARO:3000183	tet(Z)	TetZ is a tetracycline efflux protein found in Gram-positive bacteria (Corynebacterium and Lactobacillus). It is associated with plasmid DNA.	36322	tet(Z)
ARO:3000186	tet(M)	Tet(M) is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	36325	tet(M)
ARO:3000190	tet(O)	Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.	36329	tet(O)
ARO:3000191	tet(Q)	Tet(Q) is a ribosomal protection protein. Its gene is associated with a conjugative transposon and has been found in both Gram-positive and Gram-negative bacteria.	36330	tet(Q)
ARO:3000192	tet(S)	Tet(S) is a ribosomal protection protein found in Gram-positive and Gram-negative strains. It is similar to tet(M) and tet(O).	36331	tet(S)
ARO:3000193	tet(T)	Tet(T) is a ribosomal protection protein of streptococci. It is similar to Tet(Q).	36332	tet(T)
ARO:3000194	tet(W)	Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.	36333	tet(W)
ARO:3000195	tetB(P)	TetB(P) is a tetracycline ribosomal protection protein found on the same operon as tetA(P), a tetracycline efflux protein.	36334	tetB(P)
ARO:3000196	tet(32)	Tet(32) is a tetracycline resistance gene similar to Tet(O), and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.	36335	tet(32)
ARO:3000197	tet(36)	Tet(36) is a tetracycline resistance gene found in Bacteroides similar to Tet(Q), and binds to the ribosome to confer antibiotic resistance as a ribosomal protection protein.	36336	tet(36)
ARO:3000198	FosX	FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor, manganese (II), and uses water to generate a vicinal diol.	36337	FosX
ARO:3000205	tet(X)	Tet(X) is a flavin-dependent monooxygenase conferring resistance to tetracycline antibiotics. Tet(X) hydroxylates position 11a of the tetraketide group thus inactivating the antibiotic.	36344	tet(X)
ARO:3000206	emrK	emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC, it mediates multidrug efflux.	36345	emrK
ARO:3000215	mecR1	mecR1 is a transmembrane spanning and signal transducing protein which in response to interaction with beta-lactam antibiotics results in upregulation of the mecA/mecR1/mecI operon.	36354	mecR1
ARO:3000216	acrB	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	36355	acrB
ARO:3000217	blaR1	blaR1 is a transmembrane spanning and signal transducing protein which in response to interaction with beta-lactam antibiotics results in upregulation of the blaZ/blaR1/blaI operon.	36356	blaR1
ARO:3000230	ANT(2'')-Ia	Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa, K. pneumoniae, Morganella morganii, E. coli, S. typhimurium, C. freundii and A. baumannii.	36369	ANT(2'')-Ia
ARO:3000236	glycopeptide resistance gene cluster VanA	This inducible cluster confers high resistance to both vancomycin and teicoplanin by allowing restructuring of peptidoglycan precursors to end in D-Ala-D-Lac. The vanA gene cluster can be located either on plasmids or on the chromosome. Gene orientation: vanRSHAXYZ.	36375	vanA_cluster
ARO:3000237	TolC	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.	36376	TolC
ARO:3000238	glycopeptide resistance gene cluster VanB	This inducible cluster confers resistance to vancomycin but organisms remain sensitive to teicoplanin by allowing restructuring of peptidoglycan precursors to end in D-Ala-D-Lac.  Sensitivity to teicoplanin is due to lack of binding to the sensor kinase VanS. The vanB gene cluster can be located either on plasmids or on the chromosome. Gene orientation: vanRSYWHBX.	36377	vanB_cluster
ARO:3000245	RbpA	RNA-polymerase binding protein which confers resistance to rifampin.	36384	RbpA
ARO:3000246	glycopeptide resistance gene cluster VanC	Confers low vancomycin resistance by engineering peptidoglycan precursors ending in D-Ala-D-Ser in an inducible or constitutive manner.  The vanC cluster is intrinsic to the Enterococcus gallinarum chromosome. vanC organisms remain susceptible to teicoplanin. Gene orientation: vanC(XY)TRS.	36385	vanC_cluster
ARO:3000248	DnaA	DnaA is a chromosomal replication initiation protein which binds and interacts with RNA polymerase in Escherichia coli. A surplus of DnaA present in a cell has been shown to confer resistance to the antibiotic Rifampicin. Normally, rifampicin inhibits initiation of transcription by RNA polymerase, but a surplus of DnaA available at the origin has been shown to disrupt Rifampicin activity and confer resistance.	36387	DnaA
ARO:3000250	ErmC	ErmC is a methyltransferase that catalyzes the methylation of A2058 of the 23S ribosomal RNA in two steps. Expression of ErmC is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmC.	36389	ErmC
ARO:3000251	msrA	MsrA is an ABC-F subfamily ribosomal protection protein expressed in Staphylococcus species which confers resistance to erythromycin and streptogramin B antibiotics through antibiotic target protection mechanisms. It is associated with plasmid DNA.	36390	msrA
ARO:3000253	glycopeptide resistance gene cluster VanD	Homologous to vanA, contains a D-Ala-D-Lac ligase.  This cluster is constitutively expressed in the chromosome due to a dysfunctional D-ala-D-ala ligase and confers moderate resistance to both vancomycin and teicoplanin. Gene orientation: vanRSYHDX.	36392	vanD_cluster
ARO:3000254	emrY	emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.	36393	emrY
ARO:3000255	glycopeptide resistance gene cluster VanF	Homologous to vanA, contains a D-Ala-D-Lac ligase. The vanF gene cluster is inducible and confers high resistance to vancomycin in Paenibacillus popilliae. vanF organisms remain susceptible to teicoplanin. Gene orientation: RSYZHFX.	36394	vanF_cluster
ARO:3000256	glycopeptide resistance gene cluster VanM	Homologous to vanA, contains a D-Ala-D-Lac ligase. The plasmid-located vanM gene cluster is inducible and confers high resistance to vancomycin and teicoplanin. Gene orientation: RSYHMX.	36395	vanM_cluster
ARO:3000257	glycopeptide resistance gene cluster VanG	Contains a D-Ala-D-Ser ligase. The vanG gene cluster is inducible and confers low resistance to vancomycin. vanG organisms remain susceptible to teicoplanin. It is the only van gene cluster that contains two vanY genes. Gene orientation: vanRSYWGYT.	36396	vanG_cluster
ARO:3000259	glycopeptide resistance gene cluster VanE	Homologous to VanC, contains a D-Ala-D-Ser ligase. The chromosome-located vanE gene cluster is inducible and confers low resistance to vancomycin. vanE organisms remain susceptible to teicoplanin. Gene orientation: E(XY)TRS.	36398	vanE_cluster
ARO:3000260	glycopeptide resistance gene cluster VanL	Homologous to VanC, contains a D-Ala-D-Ser ligase. The chromosome-located vanL gene cluster is inducible and confers low resistance to vancomycin. vanL organisms remain susceptible to teicoplanin. It is the only van gene cluster with two vanT genes. Gene orientation: vanL(XY)TmTrRS.	36399	vanL_cluster
ARO:3000263	marA	In the presence of antibiotic stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF.	36402	marA
ARO:3000300	lsaA	LsaA is an ABC-F subfamily protein expressed in Enterococcus faecalis. It confers resistance to clindamycin, quinupristin-dalfopristin, and dalfopristin.	36439	lsaA
ARO:3000309	emrD	EmrD is a multidrug transporter from the Major Facilitator Superfamily (MFS) primarily found in Escherichia coli. EmrD couples efflux of amphipathic compounds with proton import across the plasma membrane.	36448	emrD
ARO:3000316	mphA	The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin, telithromycin, roxithromycin) over 16-membered macrolides (e.g.tylosin, spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.	36455	mphA
ARO:3000318	mphB	The mphB gene encodes for MPH(2')-II. This enzymes phosphorylates 14-membered and 16-membered macrolides.  It phosphorylates macrolides in GTP- dependent manner at 2'-OH hydroxyl of desosamine sugar of macrolides.	36457	mphB
ARO:3000319	mphC	The mphC gene was identified from Staphylococcus aureus.  This gene shows similarity to mphB gene from Escherchia coli.	36458	mphC
ARO:3000326	ErmE	ErmE is a methyltransferase found in the erythromycin producer Saccharopolyspora erythraea. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the erythromycin biosynthetic cluster and is responsible for self-resistance.	36465	ErmE
ARO:3000343	tap	Efflux pump proteins contained within Mycobacterial genomes which confer resistance to a number of different antibiotics including aminoglycosides, and tetracyclines.	36482	tap
ARO:3000344	EmrAB-TolC	EmrAB-TolC is a multidrug efflux system found in E. coli. EmrB is the electrochemical-gradient powered transporter; EmrA is the linker; and TolC is the outer membrane channel. It confers resistance to nalidixic acid and thiolactomycin.	36483	EmrAB-TolC
ARO:3000347	ErmA	ErmA confers the MLSb phenotype. Similar to ErmC, Expression of ErmA is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmA.	36486	ErmA
ARO:3000361	EreA	EreA is an erythromycin esterase that hydrolyses the drug's lactone ring.	36500	EreA
ARO:3000363	EreB	EreB is an erythromycin esterase-like protein that hydrolyses the drug's lactone ring.	36502	EreB
ARO:3000368	vanC	VanC is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is specific to Enterococcus gallinarum and E. casseliflavus, providing intrinsic resistance.	36507	vanC
ARO:3000369	MtrCDE	The mtr (multiple transferable resistance) system of Neisseria gonorrhoeae confers resistance to many hydrophobic agents including antibiotics, fatty-acids and detergents. MtrCDE is homologous to AcrAB-TolC, where MtrC is the membrane fusion protein, MtrD is the inner membrane transporter, and MtrE is the outer membrane channel protein.	36508	MtrCDE
ARO:3000373	EmrKY-TolC	EmrKY is a homolog of EmrAB found in E. coli. Together with TolC, it is a tripartite multidrug transporter.	36512	EmrKY-TolC
ARO:3000375	ErmB	ErmB confers the MLSb phenotype. Similar to ErmC, expression of ErmB is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmB.	36514	ErmB
ARO:3000377	MexA	MexA is the membrane fusion protein of the MexAB-OprM multidrug efflux complex.	36516	MexA
ARO:3000378	MexB	MexB is the inner membrane multidrug exporter of the efflux complex MexAB-OprM.	36517	MexB
ARO:3000379	OprM	OprM is an outer membrane factor protein found in Pseudomonas aeruginosa and Burkholderia vietnamiensis. It is part of the MexAB-OprM, MexVW-OprM, MexXY-OprM and the AmrAB-OprM complex.	36518	OprM
ARO:3000380	FosC	FosC is an enzyme that phosphorylates fosfomycin to confer resistance.	36519	FosC
ARO:3000384	AcrAB-TolC	AcrAB-TolC is a tripartite RND efflux system that confers resistance to tetracycline, chloramphenicol, ampicillin, nalidixic acid, and rifampin  in Gram-negative bacteria. The system spans the cell membrane (AcrB) and the outer-membrane (TolC), and is linked together in the periplasm by AcrA.	36523	AcrAB-TolC
ARO:3000391	norA	NorA is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like acriflavine. It shares 30% similarity with NorA, and is a structural homolog of Bmr of Bacillus subtilis. It is regulated by arlRS and mgrA, the latter also known as NorR.	36530	norA
ARO:3000392	Erm(37)	Erm(37) is found in Mycobacterium species and confers the MLSb phenotype. In addition to methylation of A2058 this Erm methylates adjacent adenosines (A2057 and A2059) as well.	36531	Erm(37)
ARO:3000410	sul1	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	36549	sul1
ARO:3000412	sul2	Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria, usually found on small plasmids.	36551	sul2
ARO:3000413	sul3	Sul3 is a sulfonamide resistant dihydropteroate synthase similar to Sul1 and Sul2. Its resistance gene was found encoded in E. coli plasmid DNA of sulfonamide resistant isolates.	36552	sul3
ARO:3000421	norB	NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB, and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA, also known as NorR.	36560	norB
ARO:3000423	FomA	In the presence of ATP and magnesium (II), fosfomycin gets phosphorylated at the phosphate group resulting in a diphosphate group which inactivates the antibiotic.	36562	FomA
ARO:3000444	rphA	The enzymatic inactivation of rifampin by phosphorylation at the 21-OH position.	36583	rphA
ARO:3000448	QepA1	QepA1 is a plasmid-mediated efflux pump in E. coli, shown to contribute to fluoroquinolone resistance. It is regulated by sox genes, also known as global stress regulators.	36587	QepA1
ARO:3000449	FomB	An enzyme which on its own cannot provide fosfomycin resistance, however in conjunction with FomA, it leads to the formation of fosfomycin with three phosphates total, which makes it inactive.	36588	FomB
ARO:3000462	mgtA	A macrolide glycosyltransferase encoded by the mgtA gene in Streptomyces lividans. This enzyme inactivates macrolides using UDP-glucose as a cofactor. Its optimal substrates are lankamycin, calcomycin, rosaramicin, methymycin, and pikromycin, while interactions with erythomycin, oldeandomycin, azithromycin, and tylosin were weaker. It is inactive against spiramycin and carbomycin. Mechanism first described by Cundliffe, 1992.	36601	mgtA
ARO:3000463	gimA	A macrolide glycosyltransferase encoded by the gimA gene in Streptomyces ambofaciens, a natural producer of the macrolide antibiotic spiramycin. Chalcomycin, methymycin, tylosin, pikromycin, rosaramicin, oleandomycin, josamycin, and carbomycin are preferred substrates of gimA glycosyltransferase, while erythromycin and spiramycin have notably low binding affinities. GimA may be able to inactivate spiramycin precursors. Described by Gourmelen et al. 1998.	36602	gimA
ARO:3000464	Neisseria gonorrhoeae porin PIB (por)	Mutant forms of the porin Por result in reduced permeability to antibiotics, particularly tetracyclines and beta-lactams.	36603	Ngon_porin
ARO:3000467	NDM-5	New Delhi beta-lactamase NDM-5.	36606	NDM-5
ARO:3000476	tet(31)	Tet31 is a tetracycline efflux pump found in Aeromonas salmonicida, a Gram-negative bacteria. It has also been shown to be expressed in Gallibacterium anatis.	36615	tet(31)
ARO:3000478	tet(33)	Tet33 is a tetracycline efflux pump found in Gram-positive bacteria, including Arthrobacter and Corynebacterium.	36617	tet(33)
ARO:3000481	tet(35)	Tet35 is a tetracycline efflux pump found in the Gram-negative Vibrio and Stenotrophomonas. It is unrelated to other tet resistance genes.	36620	tet(35)
ARO:3000489	sav1866	Sav1866 is a multidrug efflux pump in the Gram-positive Staphylococcus aureus. It is a homolog of the human ABC transporter Mdr1 and pumps out toxic compounds including verapamil, tetraphenylphosphorchloride, and Hoechst 33342.	36628	sav1866
ARO:3000491	acrD	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole, and is regulated by baeRS and cpxAR.	36630	acrD
ARO:3000495	ErmD	ErmD confers MLSb phenotype.	36634	ErmD
ARO:3000498	ErmF	ErmF confers the MLSb phenotype.	36637	ErmF
ARO:3000499	AcrE	AcrE is a membrane fusion protein, similar to AcrA.	36638	AcrE
ARO:3000501	rpoB2	Due to gene duplication, the genomes of Nocardia species include both rifampin-sensitive beta-subunit of RNA polymerase (rpoB) and rifampin-resistant beta-subunit of RNA polymerase (rpoB2) genes, with ~88% similarity between the two gene products. Expression of the rpoB2 variant results in replacement of rifampin sensitivity with rifampin resistance.	36640	rpoB2
ARO:3000502	AcrF	AcrF is a inner membrane transporter, similar to AcrB.	36641	AcrF
ARO:3000504	golS	GolS is a regulator activated by the presence of golD, and promotes the expression of the MdsABC efflux pump.	36643	golS
ARO:3000506	MexR	MexR is the repressor of the MexRAB-OprM operon. Mutant forms of mexR result in up-regulation of efflux pump system MexAB-OprM.	36645	MexR
ARO:3000508	gadX	GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.	36647	gadX
ARO:3000510	Staphylococcus aureus mupB conferring resistance to mupirocin	An alternative isoleucyl-tRNA synthetase conferring resistance to mupirocin.	36649	Saur_mupB_MUP
ARO:3000516	emrR	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	36655	emrR
ARO:3000518	CRP	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	36657	CRP
ARO:3000521	Staphylococcus aureus mupA conferring resistance to mupirocin	An alternative isoleucyl-tRNA synthetase conferring resistance to mupirocin.	36660	Saur_mupA_MUP
ARO:3000522	ErmG	ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.	36661	ErmG
ARO:3000526	cmeR	CmeR is a repressor for the CmeABC multidrug efflux pump, binding to the cmeABC promoter region.	36665	cmeR
ARO:3000533	macA	MacA is a membrane fusion protein that forms an antibiotic efflux complex with MacB and TolC. macA corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.	36672	macA
ARO:3000535	macB	MacB is an ATP-binding cassette (ABC) transporter that exports macrolides with 14- or 15- membered lactones. It forms an antibiotic efflux complex with MacA and TolC. macB corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.	36674	macB
ARO:3000549	adeS	AdeS is a sensor kinase in the AdeRS regulatory system of AdeABC. It is essential for AdeABC expression.	36688	adeS
ARO:3000553	adeR	AdeR is a positive regulator of AdeABC efflux system. AdeR inactivation leads to susceptibility to aminoglycoside antibiotics.	36692	adeR
ARO:3000556	tet(44)	Tet44 is a tetracycline resistance gene found in Campylobacter fetus, and binds to the ribosome to confer antibiotic resistance as a ribosomal protection protein.	36695	tet(44)
ARO:3000559	adeN	AdeN is a repressor of AdeIJK, a RND-type efflux pump in Acinetobacter baumannii. Its inactivation increases expression of AdeJ.	36698	adeN
ARO:3000561	tet(30)	Tet30 is a tetracycline efflux pump found in agrobacterium, a Gram-negative bacterium.	36700	tet(30)
ARO:3000565	tet(38)	Tet38 is a tetracycline efflux pump found in the Gram-positive Staphylococcus aureus. It is regulated by mgrA, which also regulates NorB.	36704	tet(38)
ARO:3000566	tet(39)	Tet39 is a tetracycline efflux pump found in Gram-negative bacteria, including Brevundimonas, Stenotrophomonas, Enterobacter, Alcaligenes, Acinetobacter, and Providencia.	36705	tet(39)
ARO:3000567	tet(40)	Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).	36706	tet(40)
ARO:3000569	tet(41)	Tet41 is a tetracycline efflux pump found in Serratia, a Gram-negative bacterium.  It is related to Acinetobacter Tet(39).	36708	tet(41)
ARO:3000572	tet(42)	Tet42 is a tetracycline efflux pump found in both Gram-negative (Pseudomonas) and Gram-positive (Microbacterium, Bacillus, Staphylococcus, Paenibacillus) bacteria.	36711	tet(42)
ARO:3000573	tet(43)	Tet(43) is a tetracycline resistance gene with unknown origins, isolated from metagenomic DNA.	36712	tet(43)
ARO:3000578	CcrA	CcrA is a CfiA beta-lactamase.	36717	CcrA
ARO:3000579	Chryseobacterium meningosepticum BlaB	This BlaB specific to Chryseobacterium meningosepticum mediates resistance against many beta-lactam antibiotics, notably penams and carbapenems.	36718	Cmen_BlaB
ARO:3000582	L1 beta-lactamase	L1 is an Ambler class B MBL; subclass B3 originally isolated from Stenotrophomonas maltophilia.  It has activity against a broad range of beta-lactams and is only active with two Zn(II) ions in the active site.	36721	L1_BLA
ARO:3000589	NDM-1	NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.	36728	NDM-1
ARO:3000590	NDM-2	NDM-2 was isolated from a strain of Acinetobacter baumannii in Germany from a patient hospitalized in Cairo.  A single amino acid substitution (P28R) differentiates this gene from NDM-1 and the two enzymes appear to have an identical spectrum of hydrolysis.	36729	NDM-2
ARO:3000592	ErmN	ErmN is a methyltransferase found in the tylosin producer Streptomyces fradiae. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers only one methyl group. The gene is found in the tylosin biosynthetic cluster and is responsible for self-resistance to tylosin.	36731	ErmN
ARO:3000593	ErmQ	ErmQ confers MLSb phenotype.	36732	ErmQ
ARO:3000594	ErmR	ErmR is a methyltransferase found in the erythromycin producer Aeromicrobium erythreum. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the erythromycin biosynthetic cluster and is responsible for self-resistance.	36733	ErmR
ARO:3000595	ErmT	ErmT confers MLSb phenotype.	36734	ErmT
ARO:3000596	ErmX	ErmX is a rRNA methyltransferase that protects the ribosome from inactivation due to antibiotic binding.	36735	ErmX
ARO:3000598	Erm(31)	Erm(31) confers a MLSb resistant phenotype. Along with erm(30), these genes are responsible for self-resistance in the pikromycin/narbomycin/methymycin/neomethymycin producer, Streptomyces venezuelae.	36737	Erm(31)
ARO:3000599	Erm(33)	ErmD confers MLSb phenotype.	36738	Erm(33)
ARO:3000600	Erm(34)	ErmD confers MLSb phenotype.	36739	Erm(34)
ARO:3000601	Erm(38)	ErmD confers MLSb phenotype.	36740	Erm(38)
ARO:3000602	Erm(39)	ErmD confers MLSb phenotype.	36741	Erm(39)
ARO:3000603	Erm(41)	Erm41 confers MLSb phenotype.	36742	Erm(41)
ARO:3000604	Erm(35)	ErmD confers MLSb phenotype.	36743	Erm(35)
ARO:3000605	Erm(36)	ErmD confers MLSb phenotype.	36744	Erm(36)
ARO:3000606	FEZ-1	FEZ-1 is an Ambler class B MBL; subclass B3 first isolated from Legionella gormanii.  It has activity against a broad range of beta-lactams and is only active with two Zn(II) ions in the active site.	36745	FEZ-1
ARO:3000614	mefE	mefE is a proton motive efflux pump in Streptococcus pneumoniae that confers resistance to macrolides. It is found on the same operon as mefA and the ABC-efflux pump mel.	36908	mefE
ARO:3000616	mel	Mel, a homolog of MsrA, is an ABC-F subfamily protein associated with macrolide resistance. It is expressed on the same operon as mefA and mefE, both MFS-type efflux proteins that confer macrolide resistance.	36910	mel
ARO:3000617	mecA	A foreign PBP2a acquired by lateral gene transfer that is able to perform peptidoglycan synthesis in the presence of beta-lactams.	36911	mecA
ARO:3000620	adeL	AdeL is a regulator of AdeFGH in Acinetobacter baumannii. AdeL mutations are associated with AdeFGH overexpression and multidrug resistance.	36962	adeL
ARO:3000621	PC1 beta-lactamase (blaZ)	The blaZ beta-lactamase is found in Bacillus subtilis and Staphylococcus aureus.	36963	PC1_blaZ
ARO:3000656	AcrS	AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.	37000	AcrS
ARO:3000676	H-NS	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE, mdtE, and emrK as well as nearby genes of many RND-type multidrug exporters.	37020	H-NS
