Accession	Name	Description	ID
909768	Acinetobacter calcoaceticus/baumannii complex	_blank_	40550
1217654	Acinetobacter calcoaceticus NIPH 13	_blank_	42798
107673	Acinetobacter calcoaceticus subsp. anitratus		36918
70345	Acinetobacter colistiniresistens		39512
280147	Acinetobacter courvalinii	_blank_	41219
1871111	Acinetobacter defluvii	placeholder	43394
70348	Acinetobacter dispersus	Acinetobacter dispersus	39516
72607	Acinetobacter genomosp. 13		39510
70347	Acinetobacter genomosp. 16BJ		39515
202952	Acinetobacter gerneri	Acinetobacter gerneri	42557
1120926	Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824	_blank_	41193
106649	Acinetobacter guillouiae	Acinetobacter guillouiae	42558
1330038	Acinetobacter guillouiae MSP4-18	_blank_	41741
1217656	Acinetobacter guillouiae NIPH 991	_blank_	42804
134534	Acinetobacter gyllenbergii	Acinetobacter gyllenbergii	42559
1330039	Acinetobacter gyllenbergii CIP 110306 = MTCC 11365	_blank_	41742
29430	Acinetobacter haemolyticus		36938
1217659	Acinetobacter haemolyticus CIP 64.3 = MTCC 9819	_blank_	42795
756892	Acinetobacter indicus	placeholder	43395
40214	Acinetobacter johnsonii		39092
1217662	Acinetobacter johnsonii ANC 3681	_blank_	42807
1217663	Acinetobacter johnsonii CIP 64.6	_blank_	42808
40215	Acinetobacter junii	Acinetobacter junii	42712
1785128	Acinetobacter lactucae	_blank_	42801
28090	Acinetobacter lwoffii		36948
106654	Acinetobacter nosocomialis		36949
134533	Acinetobacter parvus	Acinetobacter parvus	42560
981333	Acinetobacter parvus DSM 16617 = CIP 108168	_blank_	41200
48296	Acinetobacter pittii		36787
1217673	Acinetobacter pittii ANC 3678	_blank_	42803
1217691	Acinetobacter pittii ANC 4050	_blank_	42800
1311774	Acinetobacter pittii ATCC 19004 = CIP 70.29	_blank_	42802
1217713	Acinetobacter proteolyticus	_blank_	42970
40216	Acinetobacter radioresistens		39672
981334	Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788	_blank_	42784
632955	Acinetobacter rudis	Acinetobacter rudis	42561
421052	Acinetobacter rudis CIP 110305	_blank_	41191
108981	Acinetobacter schindleri		39096
1217988	Acinetobacter schindleri CIP 107287	_blank_	42806
1217675	Acinetobacter schindleri NIPH 900	_blank_	42805
487316	Acinetobacter soli		39070
472	Acinetobacter sp.		36837
70349	Acinetobacter sp. 631		39517
70350	Acinetobacter sp. 640		39518
1217701	Acinetobacter sp. ANC 3880	_blank_	42824
1217707	Acinetobacter sp. ANC 3929	_blank_	42816
1217703	Acinetobacter sp. ANC 4105	_blank_	42814
70351	Acinetobacter sp. BM2722		39519
1217699	Acinetobacter sp. CIP 110321	_blank_	43688
1144670	Acinetobacter sp. CIP 51.11	_blank_	42810
1144672	Acinetobacter sp. CIP 56.2	_blank_	42812
1217694	Acinetobacter sp. CIP 64.2	_blank_	42823
1144673	Acinetobacter sp. CIP 64.7	_blank_	42811
1217700	Acinetobacter sp. CIP 70.18	_blank_	42813
1144674	Acinetobacter sp. CIP A162	_blank_	42809
40373	Acinetobacter sp. CIP-A165		39511
1182652	Acinetobacter sp. enrichment culture clone 8407		39095
1485002	Acinetobacter sp. ETR1	_blank_	43376
309867	Acinetobacter sp. LUH5605		36811
1217697	Acinetobacter sp. NIPH 1847	_blank_	42818
1217702	Acinetobacter sp. NIPH 1867	_blank_	42815
1217708	Acinetobacter sp. NIPH 2100	_blank_	42827
1217706	Acinetobacter sp. NIPH 2168	_blank_	42817
1217692	Acinetobacter sp. NIPH 298	_blank_	45611
1217698	Acinetobacter sp. NIPH 3623	_blank_	42819
1217688	Acinetobacter sp. NIPH 542	_blank_	42825
1217712	Acinetobacter sp. NIPH 758	_blank_	41199
520708	Acinetobacter sp. NIPH 817	_blank_	42826
202954	Acinetobacter tandoii	Acinetobacter tandoii	42562
1120927	Acinetobacter tandoii DSM 14970 = CIP 107469	_blank_	41739
202956	Acinetobacter towneri	placeholder	43396
70346	Acinetobacter variabilis	Acinetobacter variabilis	39513
52133	Acinetobacter venetianus	Acinetobacter venetianus	42947
1191460	Acinetobacter venetianus RAG-1 = CIP 110063	_blank_	42796
1879050	Acinetobacter wuhouensis	placeholder	43397
65496	Actinoalloteichus	NULL	45575
195949	Actinoalloteichus cyanogriseus	Actinoalloteichus cyanogriseus	36875
713	Actinobacillus	placeholder	43422
51049	Actinobacillus indolicus	placeholder	43398
715	Actinobacillus pleuropneumoniae	placeholder	43399
189834	Actinobacillus porcitonsillarum	placeholder	43400
1988	Actinomadura	NULL	45576
72570	Actinomadura sp. R39		40175
1654	Actinomyces	null	45752
1656	Actinomyces viscosus	placeholder	45753
1865	Actinoplanes	NULL	45577
1867	Actinoplanes teichomyceticus		36880
2040	Aeromicrobium	NULL	45569
2041	Aeromicrobium erythreum	_blank_	40506
642	Aeromonas		37047
656	Aeromonas allosaccharophila		36947
440079	Aeromonas bivalvium	null	45937
648	Aeromonas caviae		36936
196024	Aeromonas dhakensis		39651
29489	Aeromonas enteropelogenes	_blank_	41646
644	Aeromonas hydrophila		36810
1288394	Aeromonas hydrophila ML09-119	_blank_	40962
196023	Aeromonas hydrophila subsp. hydrophila	_blank_	41660
650	Aeromonas jandaei	_blank_	42604
651	Aeromonas media		39526
645	Aeromonas salmonicida		36795
29491	Aeromonas salmonicida subsp. salmonicida	_blank_	40299
646	Aeromonas sobria		36957
505724	Aeromonas sp. HCUZ 2422275		36942
654	Aeromonas veronii		39677
114517	Aeromonas veronii bv. sobria		39653
197701	Aeromonas veronii bv. veronii		39671
416916	Aggregatibacter	NULL	45498
714	Aggregatibacter actinomycetemcomitans	_blank_	41967
357	Agrobacterium	_blank_	40135
1176649	Agrobacterium fabrum	NULL	45578
176299	Agrobacterium fabrum str. C58	Agrobacterium fabrum str. C58	36775
358	Agrobacterium tumefaciens	_blank_	40136
507	Alcaligenes	placeholder	43423
511	Alcaligenes faecalis	_blank_	43206
2321111	Aliarcobacter	NULL	45579
28197	Aliarcobacter butzleri	_blank_	42842
511678	Aliivibrio	Gram-negative, rod-shaped g-proteobacteria	46191
316275	Aliivibrio salmonicida LFI1238	_blank_	46173
239759	Alistipes	placeholder	43424
28117	Alistipes putredinis	placeholder	45754
1872444	Alistipes sp.	placeholder	43401
1965546	Alistipes sp. An116	_blank_	45678
2675234	Alkalihalobacillus	NULL	45583
79880	Alkalihalobacillus clausii		36882
66692	Alkalihalobacillus clausii KSM-K16		39605
86665	Alkalihalobacillus halodurans	_blank_	42658
1651	Alloiococcus	null	45878
1652	Alloiococcus otitis	placeholder	45755
1283313	Alloprevotella	placeholder	43425
1872471	Alloprevotella sp.	placeholder	43402
1813	Amycolatopsis		37048
208443	Amycolatopsis balhimycina		36904
1081091	Amycolatopsis balhimycina DSM 5908		39544
31958	Amycolatopsis orientalis		36879
165779	Anaerococcus	placeholder	43426
1870984	Anaerococcus mediterraneensis	placeholder	43403
1843210	Anaerocolumna	placeholder	43427
2041569	Anaerocolumna sp.	placeholder	43404
207244	Anaerostipes	placeholder	43428
649756	Anaerostipes hadrus	placeholder	43406
1872530	Anaerostipes sp.	placeholder	43405
768	Anaplasma	null	45876
948	Anaplasma phagocytophilum	placeholder	45756
2713	Aquifex	NULL	45586
224324	Aquifex aeolicus VF5		39678
2157	Archaea	NULL	45532
1663	Arthrobacter	NULL	45585
1667	Arthrobacter sp.		36892
81077	artificial sequences	Definition needed.	36890
5052	Aspergillus	NULL	45584
330879	Aspergillus fumigatus Af293	_blank_	40696
1903434	Atlantibacter	NULL	45582
565	Atlantibacter hermannii	_blank_	41643
1643824	Atopobiaceae	placeholder	43429
2485926	Atopobiaceae bacterium	placeholder	43407
292486	Avibacterium	placeholder	43430
728	Avibacterium paragallinarum	placeholder	43408
12960	Azoarcus	NULL	45581
62928	Azoarcus olearius		37075
1385	Bacillales	_blank_	41698
1386	Bacillus		37049
1390	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	42563
1412898	Bacillus amyloliquefaciens CC178	_blank_	41528
1392	Bacillus anthracis		36786
198094	Bacillus anthracis str. Ames	_blank_	43244
261594	Bacillus anthracis str. 'Ames Ancestor'		39618
260799	Bacillus anthracis str. Sterne	_blank_	40965
1452	Bacillus atrophaeus	Bacillus atrophaeus	42948
334727	Bacillus atrophaeus C89	_blank_	42859
1396	Bacillus cereus		36751
222523	Bacillus cereus ATCC 10987	_blank_	40971
226900	Bacillus cereus ATCC 14579	_blank_	40539
86661	Bacillus cereus group	_blank_	42413
1053217	Bacillus cereus K-5975c		39641
526984	Bacillus cereus Rock3-29		39617
1053239	Bacillus cereus VD156		39616
1053240	Bacillus cereus VD166	_blank_	45669
260554	Bacillus halotolerans	Bacillus mojavensis subgroup	43409
1402	Bacillus licheniformis		36834
1871011	Bacillus massiliigabonensis	_blank_	45662
1720202	Bacillus phocaeensis	_blank_	45666
1408	Bacillus pumilus		36821
315750	Bacillus pumilus SAFR-032	_blank_	42872
1409	Bacillus sp.	placeholder	43410
1423	Bacillus subtilis		36833
653685	Bacillus subtilis group	NULL	45580
135461	Bacillus subtilis subsp. subtilis	_blank_	42601
224308	Bacillus subtilis subsp. subtilis str. 168		39579
227866	Bacillus tequilensis	placeholder	43411
1428	Bacillus thuringiensis		39644
930170	Bacillus thuringiensis serovar finitimus YBT-020		39619
527030	Bacillus thuringiensis serovar huazhongensis BGSC 4BD1		39640
492670	Bacillus velezensis	also a part of bacillus amyloliquefaciens group	43412
326423	Bacillus velezensis FZB42	Bacillus velezensis FZB42	39603
2	Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance	Bacteria are a large domain of single-celled, prokaryote microorganisms. Some species of bacteria are pathogenic and cause infectious diseases, including cholera, syphilis, anthrax, leprosy and bubonic plague. The most common fatal bacterial diseases are respiratory infections, with tuberculosis alone killing about 2 million people a year, mostly in sub-Saharan Africa. Antibiotics are used to treat bacterial infections and in agriculture, yet antibiotic resistance is becoming increasingly common.	35506
1135898	bacterium AK-MB79	_blank_	42458
816	Bacteroides		37050
47678	Bacteroides caccae	placeholder	45757
679937	Bacteroides coprosuis DSM 18011		36798
817	Bacteroides fragilis		35916
28116	Bacteroides ovatus	placeholder	43413
29523	Bacteroides sp.	_blank_	45695
818	Bacteroides thetaiotaomicron		39568
773	Bartonella	blank	45488
774	Bartonella bacilliformis		40073
360095	Bartonella bacilliformis KC583		40079
696125	Bartonella clarridgeiae 73	_blank_	42581
38323	Bartonella henselae	placeholder	45758
803	Bartonella quintana	_blank_	41969
941338	Bhargavaea	NULL	45568
394098	Bhargavaea cecembensis	_blank_	42759
476528	Bibersteinia	NULL	45567
1171377	Bibersteinia trehalosi USDA-ARS-USMARC-192	_blank_	43277
1678	Bifidobacterium	High GC content, gram positive bacterium	40440
1680	Bifidobacterium adolescentis	Bifidobacterium adolescentis	42564
367928	Bifidobacterium adolescentis ATCC 15703	_blank_	41744
28025	Bifidobacterium animalis	placeholder	43414
1681	Bifidobacterium bifidum	placeholder	45759
702459	Bifidobacterium bifidum PRL2010	_blank_	40437
1685	Bifidobacterium breve	_blank_	42610
1689	Bifidobacterium dentium	placeholder	45760
216816	Bifidobacterium longum		39590
722911	Bifidobacterium longum subsp. longum F8		36816
78344	Bifidobacterium pullorum subsp. gallinarum	placeholder	43415
33905	Bifidobacterium thermophilum	placeholder	43416
572511	Blautia	placeholder	43431
33035	Blautia producta	placeholder	43417
1955243	Blautia sp.	placeholder	43418
517	Bordetella		37601
518	Bordetella bronchiseptica		36800
103855	Bordetella hinzii	placeholder	45761
35814	Bordetella holmesii	placeholder	45762
519	Bordetella parapertussis	placeholder	45763
520	Bordetella pertussis	Bordetella pertussis	41648
1017264	Bordetella pertussis CS		37598
257313	Bordetella pertussis Tohama I	_blank_	40982
94624	Bordetella petrii	placeholder	45764
123899	Bordetella trematum	placeholder	43419
138	Borrelia	blank	40456
29520	Borrelia crocidurae	placeholder	45765
40834	Borrelia duttonii	placeholder	45766
140	Borrelia hermsii	placeholder	45767
47466	Borrelia miyamotoi	placeholder	45768
44449	Borrelia recurrentis	placeholder	45769
64895	Borreliella	NULL	45566
29518	Borreliella afzelii	placeholder	45770
139	Borreliella burgdorferi	Borreliella burgdorferi	40345
224326	Borreliella burgdorferi B31	_blank_	40455
29519	Borreliella garinii	placeholder	45771
43668	Brachybacterium	NULL	45564
43669	Brachybacterium faecium	_blank_	42410
446465	Brachybacterium faecium DSM 4810	_blank_	42602
173362	Brachybacterium paraconglomeratum	_blank_	42416
1064537	Brachybacterium paraconglomeratum LC44		39642
29521	Brachyspira	NULL	45563
159	Brachyspira hyodysenteriae	_blank_	42835
1266923	Brachyspira hyodysenteriae ATCC 27164	_blank_	41351
52584	Brachyspira pilosicoli		36935
374	Bradyrhizobium	placeholder	43432
335659	Bradyrhizobium cosmicum		39673
224911	Bradyrhizobium diazoefficiens USDA 110	_blank_	42583
376	Bradyrhizobium sp.	Miscellaneous uncharacterized species of the genus Bradyrhizobium	43390
55080	Brevibacillus	placeholder	43433
1393	Brevibacillus brevis	_blank_	41133
358681	Brevibacillus brevis NBRC 100599		39604
1289602	Brevibacillus brevis Vm4	_blank_	41526
1465	Brevibacillus laterosporus	placeholder	43420
234	Brucella	blank	40457
235	Brucella abortus	A gram-negative Brucella proteobacterium species	42446
529	Brucella anthropi		37077
36855	Brucella canis	A gram-negative proteobacterium in the Brucella genus	42447
1218315	Brucella inopinata	placeholder	45772
94625	Brucella intermedia	placeholder	45773
29459	Brucella melitensis	A gram-negative proteobacterium from the Brucella genus	42449
236	Brucella ovis	A gram-negative proteobacterium species from the Brucella genus	42448
29461	Brucella suis	_blank_	40446
204722	Brucella suis 1330		36780
32008	Burkholderia		37051
152480	Burkholderia ambifaria	placeholder	45774
95486	Burkholderia cenocepacia	Burkholderia cenocepacia species	41647
216591	Burkholderia cenocepacia J2315		39598
292	Burkholderia cepacia		36822
488447	Burkholderia contaminans	placeholder	43421
152500	Burkholderia dolosa	_BLANK_	43747
350701	Burkholderia dolosa AU0158	_blank_	42997
337	Burkholderia glumae	_blank_	42614
482957	Burkholderia lata	placeholder	43385
80840	Burkholderiales	null	45877
1891238	Burkholderiales bacterium	placeholder	45779
13373	Burkholderia mallei	placeholder	45775
87883	Burkholderia multivorans	_BLANK_	43748
342113	Burkholderia oklahomensis	placeholder	45776
28450	Burkholderia pseudomallei		36923
320371	Burkholderia pseudomallei 1710a	_blank_	41210
557724	Burkholderia pseudomallei 576		36925
272560	Burkholderia pseudomallei K96243	_blank_	41211
57975	Burkholderia thailandensis	placeholder	45777
60552	Burkholderia vietnamiensis	placeholder	45778
82976	Buttiauxella	NULL	45565
82977	Buttiauxella agrestis	_blank_	41461
574697	Butyricimonas	placeholder	43434
2093856	Butyricimonas faecalis	_BLANK_	43749
830	Butyrivibrio	NULL	45544
831	Butyrivibrio fibrisolvens		36793
194	Campylobacter		37052
195	Campylobacter coli		36835
1273173	Campylobacter coli CVM N29710		39528
199	Campylobacter concisus	placeholder	45780
200	Campylobacter curvus	placeholder	45781
196	Campylobacter fetus	placeholder	45782
32019	Campylobacter fetus subsp. fetus		36889
197	Campylobacter jejuni		36772
360109	Campylobacter jejuni subsp. doylei 269.97		37595
32022	Campylobacter jejuni subsp. jejuni		39578
192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	36956
203	Campylobacter rectus	placeholder	45783
204	Campylobacter showae	placeholder	45784
28080	Campylobacter upsaliensis	placeholder	45785
827	Campylobacter ureolyticus	placeholder	45786
1016	Capnocytophaga	placeholder	43435
1017	Capnocytophaga gingivalis	NULL	45545
553178	Capnocytophaga gingivalis ATCC 33624	_blank_	40642
1018	Capnocytophaga ochracea		36958
1019	Capnocytophaga sputigena	placeholder	45787
75	Caulobacter	NULL	45546
155892	Caulobacter vibrioides		39075
1653176	Cereibacter	NULL	45548
1063	Cereibacter sphaeroides	NULL	45547
272943	Cereibacter sphaeroides 2.4.1	_blank_	41456
810	Chlamydia	Genus: Chlamydia	40501
83558	Chlamydia pneumoniae	Chlamydia pneumoniae	41652
83554	Chlamydia psittaci	Chlamydia psittaci	40342
331636	Chlamydia psittaci 6BC	Chlamydia psittaci 6BC	40343
83559	Chlamydia suis	_BLANK_	43750
813	Chlamydia trachomatis	_blank_	40470
3052	Chlamydomonas	NULL	45549
3055	Chlamydomonas reinhardtii	_blank_	40815
990721	Christensenella	placeholder	43436
1805714	Christensenella massiliensis	_BLANK_	43842
626937	Christensenella minuta	_BLANK_	43751
59732	Chryseobacterium		39102
250	Chryseobacterium gleum		39078
253	Chryseobacterium indologenes		36916
1218103	Chryseobacterium indologenes NBRC 14944	_blank_	42883
1241982	Chryseobacterium nakagawai	_BLANK_	43752
1871047	Chryseobacterium sp.	_blank_	46236
1620218	Chryseobacterium sp. Stok-1		40281
1620219	Chryseobacterium sp. Stok-2	Chryseobacterium sp. Stok-2	40287
536441	Chryseobacterium taklimakanense	_BLANK_	43753
544	Citrobacter		37053
35703	Citrobacter amalonaticus		36919
57706	Citrobacter braakii		39584
546	Citrobacter freundii		36915
1344959	Citrobacter freundii complex	_blank_	43550
545	Citrobacter koseri		36934
1639133	Citrobacter portucalensis	_BLANK_	43754
67826	Citrobacter sedlakii		40168
1896336	Citrobacter sp.	_blank_	43553
1037358	Citrobacter sp. 913		39093
1367686	Citrobacter sp. OTESBL0707		39654
1344960	Citrobacter sp. TR21_24		39586
1236704	Citrobacter sp. W1065		39655
67827	Citrobacter werkmanii		39583
133448	Citrobacter youngae	Citrobacter youngae	41220
500640	Citrobacter youngae ATCC 29220		39643
118296	Cloning vector pBGS9-		36830
40154	Cloning vector pUCGM		36850
31979	Clostridiaceae	NULL	45552
185309	Clostridiaceae bacterium K10		36797
1898207	Clostridiales bacterium	_BLANK_	43843
1870884	Clostridioides	placeholder	43438
1496	Clostridioides difficile	Clostridioides difficile	36807
272563	Clostridioides difficile 630	Clostridioides difficile 630	37603
1485	Clostridium		37054
1488	Clostridium acetobutylicum	Clostridium acetobutylicum	42566
272562	Clostridium acetobutylicum ATCC 824	_blank_	42468
1491	Clostridium botulinum	Clostridium botulinum	41649
536232	Clostridium botulinum A2 str. Kyoto		37605
413999	Clostridium botulinum A str. ATCC 3502	_blank_	41276
1492	Clostridium butyricum		36845
748727	Clostridium ljungdahlii DSM 13528	_blank_	42599
1502	Clostridium perfringens		36812
289380	Clostridium perfringens SM101	_blank_	40448
1504	Clostridium septicum	placeholder	45788
2293017	Clostridium sp. AF37-7	_blank_	46174
29348	Clostridium spiroforme	placeholder	45915
1509	Clostridium sporogenes	_BLANK_	43756
1513	Clostridium tetani	Clostridium tetani	41650
102106	Collinsella	placeholder	43439
74426	Collinsella aerofaciens	_BLANK_	43757
283	Comamonas	placeholder	43440
285	Comamonas testosteroni	_BLANK_	43758
1716	Corynebacterium		39607
43765	Corynebacterium amycolatum	placeholder	45789
1717	Corynebacterium diphtheriae		39572
257309	Corynebacterium diphtheriae NCTC 13129	_blank_	40996
1718	Corynebacterium glutamicum		36777
156978	Corynebacterium imitans	_BLANK_	43759
38289	Corynebacterium jeikeium	_BLANK_	43760
43768	Corynebacterium matruchotii	placeholder	45790
1719	Corynebacterium pseudotuberculosis	placeholder	45791
373068	Corynebacterium sp. L2-79-05		39645
43770	Corynebacterium striatum		39554
65058	Corynebacterium ulcerans	placeholder	45792
43771	Corynebacterium urealyticum	_BLANK_	43761
401472	Corynebacterium ureicelerivorans	placeholder	45793
776	Coxiella	null	45879
777	Coxiella burnetii	placeholder	45794
413496	Cronobacter	placeholder	43441
1163710	Cronobacter condimenti	placeholder	45795
413497	Cronobacter dublinensis	placeholder	45796
413503	Cronobacter malonaticus	placeholder	45797
28141	Cronobacter sakazakii	_BLANK_	43762
413502	Cronobacter turicensis	NULL	45555
693216	Cronobacter turicensis z3032		39601
535744	Cronobacter universalis	placeholder	45798
84162	Cryptobacterium	NULL	45917
84163	Cryptobacterium curtum	placeholder	45799
106589	Cupriavidus	placeholder	43442
151783	Cupriavidus campinensis	_BLANK_	43763
82541	Cupriavidus gilardii	_blank_	43264
119219	Cupriavidus metallidurans	_BLANK_	43764
266264	Cupriavidus metallidurans CH34		36796
1912216	Cutibacterium	NULL	45556
1747	Cutibacterium acnes	Cutibacterium acnes	40344
1091045	Cutibacterium acnes subsp. defendens ATCC 11828	_blank_	41684
978	Cytophaga	placeholder	43443
985	Cytophaga hutchinsonii	placeholder	43388
73029	Dechloromonas	placeholder	43444
259537	Dechloromonas aromatica	placeholder	43383
1298	Deinococcus	placeholder	43445
1299	Deinococcus radiodurans	_BLANK_	43765
80865	Delftia	placeholder	43446
80866	Delftia acidovorans		40276
180282	Delftia tsuruhatensis	_BLANK_	43766
36853	Desulfitobacterium	_blank_	40430
49338	Desulfitobacterium hafniense	_blank_	40382
272564	Desulfitobacterium hafniense DCB-2	_blank_	42687
537010	Desulfitobacterium hafniense DP7	_blank_	40378
138119	Desulfitobacterium hafniense Y51	_blank_	42594
872	Desulfovibrio	NULL	45557
876	Desulfovibrio desulfuricans	_blank_	42896
2591381	Dysosmobacter	placeholder	43447
2093857	Dysosmobacter welbionis	_BLANK_	43767
410657	ecological metagenome	ecological metagenomes	45543
635	Edwardsiella	null	45880
636	Edwardsiella tarda	placeholder	45800
84111	Eggerthella	null	45881
84112	Eggerthella lenta	placeholder	45801
943	Ehrlichia	NULL	45916
944	Ehrlichia canis	placeholder	45802
945	Ehrlichia chaffeensis	placeholder	45803
538	Eikenella	null	45883
539	Eikenella corrodens	placeholder	45804
308865	Elizabethkingia	NULL	45558
1117645	Elizabethkingia anophelis	_blank_	41081
1338011	Elizabethkingia anophelis NUHP1	_blank_	42619
238	Elizabethkingia meningoseptica		36960
172045	Elizabethkingia miricola	placeholder	45805
59734	Empedobacter	NULL	45559
247	Empedobacter brevis		39071
343874	Empedobacter falsenii	_blank_	41679
1628248	Empedobacter stercoris	_blank_	46203
547	Enterobacter		37055
91347	Enterobacterales	_blank_	42735
61645	Enterobacter asburiae		36926
69218	Enterobacter cancerogenus	placeholder	45806
2494701	Enterobacter chengduensis	_BLANK_	43768
550	Enterobacter cloacae		36884
354276	Enterobacter cloacae complex	_blank_	40540
2027919	Enterobacter cloacae complex sp.	_blank_	43220
716541	Enterobacter cloacae subsp. cloacae ATCC 13047		37608
158836	Enterobacter hormaechei		39098
299766	Enterobacter hormaechei subsp. steigerwaltii	_blank_	43330
543	Enterobacteriaceae	_blank_	40532
254397	Enterobacteria phage 2851		36799
210927	Enterobacteria phage SC370		36792
208224	Enterobacter kobei		39773
299767	Enterobacter ludwigii	null	45936
1812935	Enterobacter roggenkampii	_BLANK_	43769
2565914	Enterobacter sp. 18A13	_blank_	43224
1445416	Enterobacter sp. 87F-2		39099
291398	Enterobacter sp. E624		39663
1546034	Enterobacter sp. ET82	_blank_	45472
357216	Enterobacter sp. Ni15		36815
1284354	Enterobacter sp. SL1		39662
2719313	Enterocloster	null	45884
1531	Enterocloster clostridioformis	placeholder	45807
1350	Enterococcus		37056
33945	Enterococcus avium	_BLANK_	43770
37734	Enterococcus casseliflavus		36767
53345	Enterococcus durans		39522
1351	Enterococcus faecalis		35918
1201292	Enterococcus faecalis ATCC 29212		40154
1151194	Enterococcus faecalis EnGen0074	_blank_	41527
491075	Enterococcus faecalis EnGen0297	Enterococcus faecalis EnGen0297	36840
474186	Enterococcus faecalis OG1RF	Enterococcus faecalis OG1RF	40433
1027372	Enterococcus faecalis OG1X		36863
226185	Enterococcus faecalis V583		37592
1352	Enterococcus faecium		36779
333849	Enterococcus faecium DO		37599
535206	Enterococcus faecium E1162	_blank_	40765
1353	Enterococcus gallinarum		36781
160453	Enterococcus gilvus	placeholder	45808
1354	Enterococcus hirae		39521
160454	Enterococcus pallens	placeholder	45809
35783	Enterococcus sp.		39558
551	Erwinia	NULL	45562
55211	Erwinia persicina	_blank_	42899
1505663	Erysipelatoclostridium	null	45885
1547	Erysipelatoclostridium ramosum	placeholder	45810
1647	Erysipelothrix	placeholder	43448
1648	Erysipelothrix rhusiopathiae	_blank_	43311
561	Escherichia	blank	40458
208962	Escherichia albertii	_BLANK_	43771
562	Escherichia coli	blank	35914
216592	Escherichia coli 042	_blank_	41006
526563	Escherichia coli 1520		37585
405955	Escherichia coli APEC O1		39524
1322345	Escherichia coli ATCC 25922	_blank_	40452
550676	Escherichia coli B185	_blank_	40541
199310	Escherichia coli CFT073		36763
475609	Escherichia coli chi7122	_blank_	41998
868186	Escherichia coli DEC11A	_blank_	42378
536056	Escherichia coli DH1	_blank_	42578
762608	Escherichia coli ETEC 1392/75	_blank_	42349
316401	Escherichia coli ETEC H10407	_blank_	41021
634468	Escherichia coli HB101		36825
585057	Escherichia coli IAI39	_blank_	42000
1355100	Escherichia coli JJ1886	_blank_	41101
1169333	Escherichia coli KTE14	_blank_	42596
1133852	Escherichia coli O104:H4 str. 2011C-3493	_blank_	41766
373045	Escherichia coli O111:NM		36802
331111	Escherichia coli O139:H28 str. E24377A	_blank_	41529
183192	Escherichia coli O157:H-		36755
