Original ID	Gene Name in CARD	ARO	Cut_Off	Database
aac(3)-Ih_1_CP000490	AAC(3)-Id	3002529	Loose	resfinder
aac(3)-Ii_1_CP000356	AAC(3)-Ib	3002530	Loose	resfinder
aac(3)-VIII_1_AB211959	AAC(3)-VIIIa	3002542	Strict	resfinder
aac(3)-VIII_2_AJ843080	AAC(3)-VIIIa	3002542	Strict	resfinder
aac(3)-VIII_3_AJ748131	AAC(3)-VIIIa	3002542	Strict	resfinder
aac(3)-VIIIa_1_M55426	AAC(3)-VIIIa	3002542	Strict	resfinder
aac(3)-VIIa_1_M22999	AAC(3)-VIIa	3002541	Perfect	resfinder
aac(3)-VIa_1_M88012	AAC(3)-VIa	3002540	Perfect	resfinder
aac(3)-VIa_2_NC_009838	AAC(3)-VIa	3002540	Strict	resfinder
aac(3)-XI_1_CTEG01000046	AAC(6')-Iap	3007204	Loose	resfinder
aac(3)-Xa_1_AB028210	gimA	3000463	Loose	resfinder
aac(6')-29a_1_AF263519	AAC(6')-29a	3002583	Loose	resfinder
aac(6')-29b_1_AF263519	AAC(6')-29a	3002583	Loose	resfinder
aac(6')-30-aac(6')-Ib'_1_AJ584652	AAC(6')-30/AAC(6')-Ib' bifunctional protein	3002599	Perfect	resfinder
aac(6')-31_1_AM283489	AAC(6')-31	3002585	Perfect	resfinder
aac(6')-32_1_EF614235	AAC(6')-32	3002586	Perfect	resfinder
aac(6')-33_1_GQ337064	AAC(6')-I33	3002587	Perfect	resfinder
aac(6')-I30_1_AY289608	AAC(6')-I30	3002588	Perfect	resfinder
aac(6')-IIa_1_M29695	AAC(6')-IIa	3002594	Perfect	resfinder
aac(6')-IIb_1_L06163	AAC(6')-IIb	3002595	Perfect	resfinder
aac(6')-IIc_1_NC_012555	AAC(6')-IIc	3002596	Perfect	resfinder
aac(6')-Ia_1_M18967	AAC(6')-Ia	3002545	Perfect	resfinder
aac(6')-Ia_2_M86913	AAC(6')-Ia	3002545	Perfect	resfinder
aac(6')-Iaa_1_NC_003197	AAC(6')-Iaa	3002571	Perfect	resfinder
aac(6')-Iad_1_AB119105	AAC(6')-Iad	3002572	Perfect	resfinder
aac(6')-Iae_1_AB104852	AAC(6')-Iae	3002573	Perfect	resfinder
aac(6')-Iaf_1_AB462903	AAC(6')-Iaf	3002574	Strict	resfinder
aac(6')-Iag_1_AB472901	AAC(6')-I-48	3004638	Perfect	resfinder
aac(6')-Iai_1_EU886977	AAC(6')-Iai	3002575	Perfect	resfinder
aac(6')-Iaj_1_AB709942	AAC(6')-Iaj	3003677	Perfect	resfinder
aac(6')-Iak_1_AB894482	AAC(6')-Iak	3003199	Strict	resfinder
aac(6')-Ian_1_AP014611	AAC(6')-Ian	3003200	Perfect	resfinder
aac(6')-Ib-Hangzhou_1_FJ503047	AAC(6')-Ib-Hangzhou	3002592	Perfect	resfinder
aac(6')-Ib-cr_1_DQ303918	AAC(6')-Ib10	3002581	Strict	resfinder
aac(6')-Ib-cr_2_EF636461	AAC(6')-Ib-cr5	3005115	Strict	resfinder
aac(6')-Ib11_1_AY136758	AAC(6')-Ib11	3002582	Perfect	resfinder
aac(6')-Ib3_1_X60321	AAC(6')-Ib10	3002581	Strict	resfinder
aac(6')-Ib_1_M21682	AAC(6')-Ib10	3002581	Strict	resfinder
aac(6')-Ib_2_M23634	AAC(6')-Ib10	3002581	Strict	resfinder
aac(6')-Ic_1_M94066	AAC(6')-Ic	3002549	Perfect	resfinder
aac(6')-If_1_X55353	AAC(6')-If	3002553	Perfect	resfinder
aac(6')-Ig_1_L09246	AAC(6')-Ig	3002554	Perfect	resfinder
aac(6')-Ih_1_L29044	AAC(6')-Ih	3002555	Perfect	resfinder
aac(6')-Ih_2_KT778788	AAC(6')-Ih	3002555	Strict	resfinder
aac(6')-Ii_1_L12710	AAC(6')-Ii	3002556	Perfect	resfinder
aac(6')-Iid_1_AJ584700	AAC(6')-Iid	3002589	Perfect	resfinder
aac(6')-Iih_1_AJ584701	AAC(6')-Iih	3002590	Perfect	resfinder
aac(6')-Ij_1_L29045	AAC(6')-Ij	3002557	Perfect	resfinder
aac(6')-Ik_1_L29510	AAC(6')-Ik	3002558	Perfect	resfinder
aac(6')-Il_1_U13880	AAC(6')-Il	3004635	Perfect	resfinder
aac(6')-Im_1_AF337947	AAC(6')-Im	3004629	Perfect	resfinder
aac(6')-Im_2_Z54241	AAC(6')-Ip	3002559	Perfect	resfinder
aac(6')-Iq_1_AF047556	AAC(6')-Iq	3002560	Strict	resfinder
aac(6')-Ir_1_AF031326	AAC(6')-Ir	3002561	Perfect	resfinder
aac(6')-Is_1_AF031327	AAC(6')-Is	3002562	Perfect	resfinder
aac(6')-Isa_1_AB116646	AAC(6')-Isa	3002563	Perfect	resfinder
aac(6')-It_1_AF031328	AAC(6')-It	3002564	Perfect	resfinder
aac(6')-Iu_1_AF031329	AAC(6')-Iu	3002565	Perfect	resfinder
aac(6')-Iv_1_AF031330	AAC(6')-Iv	3002566	Perfect	resfinder
aac(6')-Iw_1_AF031331	AAC(6')-Iw	3002567	Perfect	resfinder
aac(6')-Ix_1_AF031332	AAC(6')-Ix	3002568	Perfect	resfinder
aac(6')-Iz_1_AF140221	AAC(6')-Iz	3002570	Strict	resfinder
aac(6')-Iz_2_AB971834	AAC(6')-Iz	3002570	Strict	resfinder
aac(6')-aph(2'')_1_M13771	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	Perfect	resfinder
aac(6')Ib-cr_3_EF210035	AAC(6')-Ib-Suzhou	3002591	Perfect	resfinder
aacA43_1_HQ247816	AAC(6')-I-43	3004641	Perfect	resfinder
aadA10_1_U37105	aadA10	3004692	Perfect	resfinder
aadA10_2_AM087405	aadA6/aadA10	3002622	Perfect	resfinder
aadA11_1_AY144590	aadA11	3002611	Perfect	resfinder
aadA11_2_AJ567827	aadA8	3002608	Strict	resfinder
aadA12_1_AY665771	aadA12	3002612	Perfect	resfinder
aadA13_1_AY713504	aadA13	3002613	Perfect	resfinder
aadA13_2_NC010643	aadA13	3002613	Strict	resfinder
aadA14_1_AJ884726	aadA14	3002614	Perfect	resfinder
aadA15_1_DQ393783	aadA15	3002615	Perfect	resfinder
aadA16_1_EU675686	aadA16	3002616	Perfect	resfinder
aadA17_1_FJ460181	aadA17	3002617	Perfect	resfinder
aadA1_2_FJ591054	aadA22	3002619	Strict	resfinder
aadA1_3_JQ414041	aadA	3002601	Perfect	resfinder
aadA1_4_JQ480156	aadA	3002601	Strict	resfinder
aadA1_5_JX185132	aadA	3002601	Strict	resfinder
aadA1b_1_M95287	aadA	3002601	Strict	resfinder
aadA21_1_AY171244	aadA21	3002618	Perfect	resfinder
aadA22_1_AM261837	aadA22	3002619	Perfect	resfinder
aadA23_1_AJ809407	aadA22	3002619	Strict	resfinder
aadA24_1_AM711129	aadA	3002601	Strict	resfinder
aadA24_1_DQ677333	aadA24	3002621	Strict	resfinder
aadA2_1_NC_010870	aadA2	3002602	Strict	resfinder
aadA2_2_JQ364967	aadA2	3002602	Strict	resfinder
aadA2b_1_D43625	aadA2	3002602	Strict	resfinder
aadA3_1_AF047479	aadA3	3002603	Perfect	resfinder
aadA4_1_Z50802	aadA4	3002604	Strict	resfinder
aadA5_1_AF137361	aadA5	3002605	Perfect	resfinder
aadA6_1_AF140629	aadA6	3002606	Perfect	resfinder
aadA7_1_AF224733	aadA7	3002607	Strict	resfinder
aadA7_2_AB114632	aadA7	3002607	Perfect	resfinder
aadA8_1_AF326210	aadA8	3002608	Strict	resfinder
aadA8b_1_AY139603	aadA8	3002608	Perfect	resfinder
aadA8b_2_AM040708	aadA8b	3004704	Perfect	resfinder
aadA9_1_AJ420072	aadA9	3002609	Strict	resfinder
aadD_1_AF181950	ANT(4')-Ia	3002623	Strict	resfinder
aadD_2_M19465	ANT(4')-Ia	3002623	Strict	resfinder
aadE-Cc_1_CP013733	aadK	3002627	Loose	resfinder
aadK_1_M26879	aadK	3002627	Perfect	resfinder
ampH_1_AJ276031	OXA-724	3004837	Perfect	resfinder
ampH_2_HQ586946	OXA-950	3008727	Strict	resfinder
ampS_1_X80276	OXA-725	3008720	Perfect	resfinder
ant(2'')-Ia_10_HM367617	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_11_HM367620	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_12_HQ880250	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_13_DQ176450	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_14_DQ266447	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_15_EF205594	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_16_HQ386848	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_17_JTTZ01000034	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_19_GQ466184	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_1_X04555	ANT(2'')-Ia	3000230	Perfect	resfinder
ant(2'')-Ia_20_AY139599	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_2_JF826500	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_3_X74412	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_4_AF458082	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_5_AY139594	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_6_AJ871915	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_7_DQ018384	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_8_AY920928	ANT(2'')-Ia	3000230	Strict	resfinder
ant(2'')-Ia_9_HM367610	ANT(2'')-Ia	3000230	Strict	resfinder
ant(3'')-Ia_1_X02340	aadA	3002601	Strict	resfinder
ant(3'')-Ii-aac(6')-IId_1_AF453998	ANT(3'')-II-AAC(6')-IId bifunctional protein	3002598	Perfect	resfinder
ant(4')-IIa_1_M98270	ANT(4')-IIa	3002624	Perfect	resfinder
ant(4')-IIb_1_AY114142	ANT(4')-IIb	3002625	Strict	resfinder
ant(4')-Ib_1_AJ506108	ANT(4')-Ib	3003905	Perfect	resfinder
ant(6)-Ia_1_AF330699	aad(6)	3002628	Strict	resfinder
ant(6)-Ia_2_KF421157	ANT(6)-Ia	3002626	Perfect	resfinder
ant(6)-Ia_3_KF864551	ANT(6)-Ib	3002629	Loose	resfinder
ant(6)-Ia_5_AB247327	aad(6)	3002628	Strict	resfinder
ant(6)-Ib_1_FN594949	ANT(6)-Ib	3002629	Perfect	resfinder
ant(9)-Ia_1_X02588	ANT(9)-Ia	3002630	Perfect	resfinder
ant(9)-Ia_2_M69221	ANT(9)-Ib	3007401	Strict	resfinder
aph(2'')-Ia_2_AP009486	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	Strict	resfinder
aph(2'')-Ia_3_AJ536195	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	Strict	resfinder
aph(2'')-Ib_1_AF337947	APH(2'')-IIa	3002635	Perfect	resfinder
aph(2'')-Ib_2_AF207840	APH(2'')-IIa	3002635	Strict	resfinder
aph(2'')-Ib_3_KF652098	APH(2'')-IIa	3002635	Strict	resfinder
aph(2'')-Ic_1_U51479	APH(2'')-IIIa	3002636	Perfect	resfinder
aph(2'')-Id_1_AF016483	APH(2'')-IVa	3002637	Perfect	resfinder
aph(2'')-Ie_1_AY743255	APH(2'')-Ie	3002634	Perfect	resfinder
aph(2'')-If_1_KF652097	APH(2'')-If	3004191	Strict	resfinder
aph(2'')-If_2_AY701528	APH(2'')-If	3004191	Perfect	resfinder
aph(2'')-Ig_1_CP004067	APH(2'')-Ig	3002669	Perfect	resfinder
aph(2'')-Ih_1_KF652096	APH(2'')-If	3004191	Strict	resfinder
aph(3'')-Ia_1_X53527	APH(3'')-Ia	3002638	Perfect	resfinder
aph(3'')-Ia_2_AP009493	APH(3'')-Ia	3002638	Strict	resfinder
aph(3'')-Ia_3_M37378	APH(3'')-Ia	3002638	Strict	resfinder
aph(3'')-Ib_1_M28829	APH(3'')-Ib	3002639	Strict	resfinder
aph(3'')-Ib_2_AF024602	APH(3'')-Ib	3002639	Strict	resfinder
aph(3'')-Ib_3_AF321550	APH(3'')-Ib	3002639	Strict	resfinder
aph(3'')-Ib_4_AF313472	APH(3'')-Ib	3002639	Strict	resfinder
aph(3'')-Ib_5_AF321551	APH(3'')-Ib	3002639	Strict	resfinder
aph(3'')-Ic_1_DQ336355	APH(3'')-Ic	3002640	Strict	resfinder
aph(3')-III_1_M26832	APH(3')-IIIa	3002647	Perfect	resfinder
aph(3')-IIIa_1_AF330699	APH(3')-IIIa	3002647	Strict	resfinder
aph(3')-IIIa_2_AJ490186	APH(3')-IIIa	3002647	Strict	resfinder
aph(3')-IIIa_3_AB247327	APH(3')-IIIa	3002647	Strict	resfinder
aph(3')-IIa_1_X57709	APH(3')-IIa	3002644	Strict	resfinder
aph(3')-IIa_2_V00618	APH(3')-IIa	3002644	Perfect	resfinder
aph(3')-IIb_1_X90856	APH(3')-IIb	3002645	Perfect	resfinder
aph(3')-IIb_2_CP006832	APH(3')-IIb	3002645	Strict	resfinder
aph(3')-IIc_1_AM743169	APH(6)-Ic	3002659	Loose	resfinder
aph(3')-IV_1_X03364	APH(3')-IVa	3002648	Perfect	resfinder
aph(3')-IX_1_APPN01000061	APH(3')-IXa	3004087	Perfect	resfinder
aph(3')-Ia_10_EU855787	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ia_1_V00359	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ia_2_EU287476	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ia_3_EF015636	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ia_4_AF498082	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ia_5_AP004237	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ia_6_L05392	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ia_7_X62115	APH(3')-Ia	3002641	Perfect	resfinder
aph(3')-Ia_8_Y00452	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ia_9_EU722351	APH(3')-Ia	3002641	Strict	resfinder
aph(3')-Ib_1_M20305	APH(3')-Ib	3002642	Strict	resfinder
aph(3')-Ib_2_AJ744860	APH(3')-Ib	3002642	Strict	resfinder
aph(3')-Id_1_Z48231	APH(3')-Ia	3002641	Loose	resfinder
aph(3')-VIII_1_ATGI01000028	APH(3')-VIIIb	3004086	Perfect	resfinder
aph(3')-VIIa_1_M29953	APH(3')-VIIa	3002654	Perfect	resfinder
aph(3')-VI_1_KC170992	APH(3')-VIa	3002652	Strict	resfinder
aph(3')-VI_2_APPJ01000012	APH(3')-VIa	3002652	Strict	resfinder
aph(3')-VIa_1_X07753	APH(3')-VIa	3002652	Perfect	resfinder
aph(3')-VIb_1_AJ627643	APH(3')-VIb	3002653	Perfect	resfinder
aph(3')-Va_1_K00432	APH(3')-Va	3002649	Perfect	resfinder
aph(3')-Va_2_AB211959	APH(3')-Va	3002649	Strict	resfinder
aph(3')-Vb_1_M22126	APH(3')-Vb	3002650	Perfect	resfinder
aph(3')-Vb_2_AJ744850	APH(3')-Vb	3002650	Strict	resfinder
aph(3')-Vc_1_S81599	APH(3')-Vc	3002651	Perfect	resfinder
aph(3')-XV_1_Y18050	aphA15	3004675	Perfect	resfinder
aph(3')-XV_2_GQ626879	aphA15	3004675	Strict	resfinder
aph(3')-XV_3_EU165039	aphA15	3004675	Strict	resfinder
aph(4)-Ia_1_V01499	APH(4)-Ia	3002655	Perfect	resfinder
aph(6)-Ia_1_AY971801	APH(6)-Ia	3002657	Strict	resfinder
aph(6)-Ia_2_Y00459	APH(6)-Ia	3002657	Perfect	resfinder
aph(6)-Ib_1_X05648	APH(6)-Ib	3002658	Perfect	resfinder
aph(6)-Ic_1_X01702	APH(6)-Ic	3002659	Perfect	resfinder
aph(6)-Id_1_M28829	APH(6)-Id	3002660	Strict	resfinder
aph(6)-Id_2_AF024602	APH(6)-Id	3002660	Perfect	resfinder
aph(6)-Id_3_AB109805	APH(6)-Id	3002660	Strict	resfinder
aph(6)-Id_4_CP000971	APH(6)-Id	3002660	Strict	resfinder
aph(6)-Id_5_18676889	APH(6)-Id	3002660	Strict	resfinder
aph(7'')-Ia_1_X03615	APH(7'')-Ia	3002661	Strict	resfinder
aph(9)-Ia_1_U94857	APH(9)-Ia	3002662	Perfect	resfinder
aph(9)-Ia_2_CR628337	APH(9)-Ia	3002662	Loose	resfinder
aph(9)-Ib_1_U70376	APH(9)-Ib	3002663	Perfect	resfinder
armA_1_AY220558	armA	3000858	Perfect	resfinder
blaACC-1_1_AJ133121	ACC-1	3001815	Perfect	resfinder
blaACC-1_2_HG530658	ACC-1a	3006228	Strict	resfinder
blaACC-1a_1_AF180953	ACC-1a	3006228	Perfect	resfinder
blaACC-1b_1_AF180955	ACC-1b	3006229	Perfect	resfinder
blaACC-1c_1_AF180959	ACC-1c	3006230	Perfect	resfinder
blaACC-1d_1_ADCU02000001	ACC-1d	3006231	Perfect	resfinder
blaACC-2_1_AF180952	ACC-2	3001816	Perfect	resfinder
blaACC-3_1_AF180958	ACC-3	3001817	Strict	resfinder
blaACC-4_1_GU256641	ACC-4	3001818	Perfect	resfinder
blaACC-4_1_KM087831	ACC-1a	3006228	Strict	resfinder
blaACC-5_1_HE819401	ACC-5	3001819	Perfect	resfinder
blaACC-7_1_MG028657	ACC-7	3006232	Perfect	resfinder
blaACI-1_1_AJ007350	ACI-1	3004359	Perfect	resfinder
blaACT-10_1_JN848330	ACT-10	3001832	Perfect	resfinder
blaACT-12_1_JX440355	ACT-12	3001834	Perfect	resfinder
blaACT-14_1_JX440354	ACT-14	3001836	Perfect	resfinder
blaACT-15_1_JX440356	ACT-15	3001837	Perfect	resfinder
blaACT-16_1_AB737978	ACT-157	3007922	Strict	resfinder
blaACT-1_1_U58495	ACT-1	3001821	Perfect	resfinder
blaACT-2_1_AM076977	ACT-2	3001822	Perfect	resfinder
blaACT-3_1_EF125013	ACT-3	3001823	Perfect	resfinder
blaACT-4_2_AJ311172	ACT-4	3001829	Strict	resfinder
blaACT-5_1_FJ237369	ACT-5	3001824	Perfect	resfinder
blaACT-6_1_FJ237366	ACT-6	3001825	Perfect	resfinder
blaACT-7_1_FJ237368	ACT-7	3001830	Perfect	resfinder
blaACT-9_1_HQ693810	ACT-9	3001826	Perfect	resfinder
blaADC-25_1_EF016355	ADC-25	3003868	Perfect	resfinder
blaAER-1_1_U14748	AER-1	3002481	Perfect	resfinder
blaAST-1_1_AF279904	AST-1	3004740	Strict	resfinder
blaA_1_DQ424965	y56 beta-lactamase	3003558	Strict	resfinder
blaA_2_AY954728	y56 beta-lactamase	3003558	Perfect	resfinder
blaB-10_1_AY348325	BlaB-10	3005523	Perfect	resfinder
blaB-11_1_AY348326	BlaB-11	3005524	Perfect	resfinder
blaB-12_1_EF595958	BlaB-12	3005525	Perfect	resfinder
blaB-13_1_EF595959	BlaB-13	3005526	Perfect	resfinder
blaB-14_1_JN635697	BlaB-14	3005527	Perfect	resfinder
blaB-2_1_AF189300	BlaB-2	3005533	Perfect	resfinder
blaB-3_1_AF189301	BlaB-33	3005547	Strict	resfinder
blaB-3_2_AF189299	BlaB-33	3005547	Strict	resfinder
blaB-5_1_AF189303	BlaB-5	3005553	Perfect	resfinder
blaB-6_1_AF189302	BlaB-6	3005554	Strict	resfinder
blaB-7_1_AF189304	BlaB-7	3005555	Perfect	resfinder
blaB-8_1_AF189305	BlaB-8	3005556	Perfect	resfinder
blaB-9_1_AY348324	BlaB-9	3005557	Perfect	resfinder
blaBEL-1_1_DQ089809	BEL-1	3002385	Perfect	resfinder
blaBEL-2_1_FJ666063	BEL-2	3002386	Perfect	resfinder
blaBEL-3_1_GQ202694	BEL-3	3002387	Perfect	resfinder
blaBEL4_1_KX388629	BEL-4	3006154	Perfect	resfinder
blaBES-1_1_AF234999	BES-1	3004751	Perfect	resfinder
blaBIC-1_1_GQ260093	BIC-1	3004753	Perfect	resfinder
blaBIC-2_1_OR143113	BIC-2	3008080	Perfect	resfinder
blaBIL-1_1_X74512	BIL-1	3004755	Perfect	resfinder
blaBKC_1_KP689347	BKC-1	3004757	Perfect	resfinder
blaBRO-1_1_Z54180	BRO-1	3004761	Strict	resfinder
blaBRO-2_1_Z54181	BRO-2	3004762	Perfect	resfinder
blaCARB-10_1_EU850412	CARB-10	3002249	Perfect	resfinder
blaCARB-11_1_AY008290	CARB-11	3005559	Perfect	resfinder
blaCARB-12_1_D13210	CARB-12	3002250	Perfect	resfinder
blaCARB-14_1_JQ364968	CARB-14	3002252	Perfect	resfinder
blaCARB-16_1_HF953351	CARB-16	3002255	Perfect	resfinder
blaCARB-17_1_KJ934265	CARB-17	3002254	Perfect	resfinder
blaCARB-18_1_KJ934266	CARB-18	3003174	Perfect	resfinder
blaCARB-19_1_KJ934267	CARB-19	3003175	Perfect	resfinder
